,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20110201,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Petzschner P.,32,57.0,1300,839.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.65,2.15,1.53,2.38,1.67,2.33,,,1.67,2.6,1.58,2.36,2011-339,Brisbane,Hard,32.0,A,20110102.0,9.0,103852.0,6.0,,Feliciano Lopez,L,188.0,ESP,29.2,104332.0,,,Philipp Petzschner,R,185.0,GER,26.7,6-4 7-6(11),3.0,R32,100.0,11.0,7.0,77.0,39.0,33.0,21.0,11.0,4.0,5.0,9.0,5.0,68.0,30.0,25.0,22.0,11.0,0.0,2.0,32.0,1300.0,57.0,839.0
1,1,Brisbane,Brisbane International,20110201,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,De Bakker T.,40,43.0,1031,975.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.95,1.8,1.83,1.83,2.12,1.79,1.83,1.83,2.1,1.85,1.99,1.76,2011-339,Brisbane,Hard,32.0,A,20110102.0,4.0,104797.0,8.0,,Denis Istomin,R,188.0,UZB,24.3,105217.0,,,Thiemo De Bakker,R,193.0,NED,22.2,7-6(5) 6-4,3.0,R32,93.0,6.0,1.0,63.0,43.0,33.0,16.0,11.0,2.0,2.0,10.0,1.0,72.0,43.0,31.0,17.0,11.0,2.0,3.0,40.0,1031.0,43.0,975.0
2,1,Brisbane,Brisbane International,20110301,ATP250,Outdoor,Hard,1st Round,3,Berrer M.,Sela D.,58,75.0,835,643.0,1.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.83,1.83,1.95,1.8,2.0,1.73,1.98,1.91,2.0,1.73,2.01,1.91,1.91,1.82,2011-339,Brisbane,Hard,32.0,A,20110102.0,2.0,103582.0,,,Michael Berrer,L,193.0,GER,30.5,104534.0,,,Dudi Sela,R,175.0,ISR,25.7,1-6 7-6(3) 6-2,3.0,R32,152.0,9.0,3.0,99.0,54.0,34.0,28.0,13.0,8.0,10.0,16.0,4.0,103.0,59.0,42.0,20.0,14.0,3.0,5.0,58.0,835.0,75.0,643.0
3,1,Brisbane,Brisbane International,20110301,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Brands D.,70,104.0,695,541.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.9,1.85,1.8,1.91,1.78,2.15,1.83,1.83,1.91,2.16,1.8,1.94,2011-339,Brisbane,Hard,32.0,A,20110102.0,14.0,103997.0,,,Lukasz Kubot,R,190.0,POL,28.6,104978.0,,,Daniel Brands,R,196.0,GER,23.4,6-2 6-2,3.0,R32,70.0,7.0,1.0,51.0,31.0,24.0,13.0,8.0,6.0,6.0,6.0,4.0,45.0,29.0,16.0,7.0,8.0,1.0,5.0,70.0,695.0,104.0,541.0
4,1,Brisbane,Brisbane International,20110301,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Tomic B.,37,208.0,1128,239.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.4,2.8,1.4,2.75,1.41,3.1,1.44,2.63,1.44,3.15,1.39,2.88,2011-339,Brisbane,Hard,32.0,A,20110102.0,8.0,104252.0,7.0,,Florian Mayer,R,190.0,GER,27.2,106071.0,,WC,Bernard Tomic,R,193.0,AUS,18.2,6-2 6-2,3.0,R32,55.0,12.0,0.0,35.0,25.0,23.0,9.0,8.0,0.0,0.0,5.0,0.0,58.0,34.0,22.0,6.0,8.0,1.0,5.0,37.0,1128.0,208.0,239.0
5,1,Brisbane,Brisbane International,20110301,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Simon G.,64,41.0,785,1005.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.5,1.28,3.0,1.35,3.25,1.33,3.82,1.3,2.88,1.36,3.82,1.38,3.25,1.32,2011-339,Brisbane,Hard,32.0,A,20110102.0,11.0,105053.0,,,Santiago Giraldo,R,188.0,COL,23.1,104468.0,,,Gilles Simon,R,183.0,FRA,26.0,6-2 6-3,3.0,R32,86.0,2.0,0.0,74.0,57.0,37.0,9.0,8.0,5.0,5.0,5.0,2.0,53.0,30.0,22.0,8.0,9.0,1.0,5.0,64.0,785.0,41.0,1005.0
6,1,Brisbane,Brisbane International,20110301,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Andreev I.,48,79.0,940,622.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.6,2.25,1.57,2.25,1.56,2.59,1.67,2.1,1.67,2.61,1.58,2.32,2011-339,Brisbane,Hard,32.0,A,20110102.0,15.0,105238.0,,,Alexandr Dolgopolov,R,180.0,UKR,22.1,104214.0,,,Igor Andreev,R,185.0,RUS,27.4,6-4 6-2,3.0,R32,67.0,7.0,3.0,55.0,29.0,26.0,14.0,9.0,1.0,1.0,2.0,1.0,55.0,34.0,22.0,9.0,9.0,5.0,8.0,48.0,940.0,79.0,622.0
7,1,Brisbane,Brisbane International,20110301,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Matosevic M.,8,138.0,3665,398.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.1,6.5,1.07,7.5,1.09,8.65,1.08,6.5,1.11,9.05,1.08,7.15,2011-339,Brisbane,Hard,32.0,A,20110102.0,16.0,104053.0,2.0,,Andy Roddick,R,188.0,USA,28.3,104594.0,,WC,Marinko Matosevic,R,194.0,AUS,25.4,6-3 6-2,3.0,R32,73.0,5.0,1.0,47.0,29.0,23.0,13.0,9.0,3.0,4.0,2.0,0.0,48.0,22.0,12.0,12.0,8.0,2.0,6.0,8.0,3665.0,138.0,398.0
8,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Kamke T.,62,67.0,795,724.0,5.0,7.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,1.36,3.0,1.4,2.8,1.4,2.75,1.42,3.07,1.4,2.75,1.42,3.21,1.38,2.9,2011-339,Brisbane,Hard,32.0,A,20110102.0,6.0,103285.0,,,Radek Stepanek,R,185.0,CZE,32.1,104735.0,,,Tobias Kamke,R,180.0,GER,24.6,5-7 6-1 6-4,3.0,R32,124.0,7.0,3.0,80.0,47.0,37.0,16.0,15.0,2.0,5.0,4.0,7.0,87.0,50.0,33.0,19.0,14.0,5.0,10.0,62.0,795.0,67.0,724.0
9,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Verdasco F.,53,9.0,877,3240.0,6.0,1.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,3.0,1.35,3.5,1.29,3.31,1.38,3.25,1.29,3.5,1.43,3.03,1.36,2011-339,Brisbane,Hard,32.0,A,20110102.0,12.0,103794.0,,,Benjamin Becker,R,178.0,GER,29.5,104269.0,3.0,,Fernando Verdasco,L,188.0,ESP,27.1,6-1 6-7(2) 6-3,3.0,R32,133.0,6.0,4.0,99.0,53.0,42.0,23.0,15.0,6.0,7.0,10.0,5.0,78.0,47.0,34.0,14.0,13.0,1.0,5.0,53.0,877.0,9.0,3240.0
10,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Anderson K.,Luczak P.,61,137.0,813,400.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,,,,,,,2011-339,Brisbane,Hard,32.0,A,20110102.0,10.0,104731.0,,,Kevin Anderson,R,203.0,RSA,24.6,103429.0,,LL,Peter Luczak,R,183.0,AUS,31.3,6-4 6-4,3.0,R32,72.0,18.0,0.0,44.0,33.0,31.0,9.0,10.0,0.0,0.0,4.0,2.0,58.0,41.0,28.0,10.0,10.0,1.0,3.0,61.0,813.0,137.0,400.0
11,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Clement A.,87,78.0,587,627.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.5,2.5,1.53,2.38,1.53,2.67,1.57,2.25,1.6,2.73,1.52,2.48,2011-339,Brisbane,Hard,32.0,A,20110102.0,7.0,105575.0,,Q,Ricardas Berankis,R,175.0,LTU,20.5,103096.0,,,Arnaud Clement,R,173.0,FRA,33.0,6-4 6-3,3.0,R32,86.0,8.0,2.0,55.0,30.0,24.0,13.0,9.0,1.0,2.0,6.0,3.0,64.0,37.0,26.0,11.0,10.0,5.0,9.0,87.0,587.0,78.0,627.0
12,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Fish M.,Mannarino A.,16,83.0,1991,600.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.22,4.0,1.22,4.0,1.29,3.96,1.17,4.5,1.29,4.5,1.23,3.94,2011-339,Brisbane,Hard,32.0,A,20110102.0,5.0,103888.0,4.0,,Mardy Fish,R,188.0,USA,29.0,105173.0,,Q,Adrian Mannarino,L,183.0,FRA,22.5,6-1 6-4,3.0,R32,79.0,11.0,0.0,51.0,28.0,23.0,16.0,9.0,1.0,1.0,1.0,6.0,68.0,37.0,24.0,11.0,8.0,3.0,6.0,16.0,1991.0,83.0,600.0
13,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Millman J.,196,204.0,263,243.0,4.0,6.0,6.0,2.0,6.0,4.0,,,,,2.0,1.0,Completed,1.57,2.25,1.55,2.35,1.62,2.2,1.62,2.43,1.57,2.25,1.63,2.6,1.58,2.34,2011-339,Brisbane,Hard,32.0,A,20110102.0,3.0,105051.0,,Q,Matthew Ebden,R,188.0,AUS,23.1,105357.0,,WC,John Millman,R,183.0,AUS,21.5,4-6 6-2 6-4,3.0,R32,104.0,12.0,1.0,85.0,63.0,46.0,9.0,14.0,1.0,3.0,4.0,3.0,76.0,58.0,42.0,6.0,14.0,4.0,8.0,196.0,263.0,204.0,243.0
14,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Serra F.,20,69.0,1785,715.0,3.0,6.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,1.22,4.0,1.2,4.25,1.22,4.0,1.19,5.32,1.22,3.75,1.28,5.32,1.21,4.26,2011-339,Brisbane,Hard,32.0,A,20110102.0,13.0,104571.0,5.0,,Marcos Baghdatis,R,183.0,CYP,25.5,103722.0,,,Florent Serra,R,180.0,FRA,29.8,3-6 7-5 6-4,3.0,R32,142.0,13.0,2.0,91.0,46.0,35.0,22.0,15.0,3.0,6.0,7.0,2.0,103.0,62.0,44.0,19.0,16.0,4.0,8.0,20.0,1785.0,69.0,715.0
15,1,Brisbane,Brisbane International,20110401,ATP250,Outdoor,Hard,1st Round,3,Soderling R.,Harrison R.,5,173.0,5580,309.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.08,6.75,1.1,6.5,1.08,9.94,1.08,6.5,1.1,11.0,1.07,7.96,2011-339,Brisbane,Hard,32.0,A,20110102.0,1.0,104417.0,1.0,,Robin Soderling,R,193.0,SWE,26.3,105992.0,,Q,Ryan Harrison,R,183.0,USA,18.6,6-2 6-4,3.0,R32,66.0,8.0,3.0,52.0,32.0,26.0,13.0,9.0,1.0,1.0,4.0,1.0,50.0,27.0,16.0,12.0,9.0,1.0,4.0,5.0,5580.0,173.0,309.0
16,1,Brisbane,Brisbane International,20110501,ATP250,Outdoor,Hard,2nd Round,3,Mayer F.,Berankis R.,37,87.0,1128,587.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.6,2.25,1.62,2.2,1.63,2.44,1.67,2.1,1.68,2.45,1.61,2.25,2011-339,Brisbane,Hard,32.0,A,20110102.0,20.0,104252.0,7.0,,Florian Mayer,R,190.0,GER,27.2,105575.0,,Q,Ricardas Berankis,R,175.0,LTU,20.5,6-4 4-6 6-4,3.0,R16,131.0,4.0,1.0,83.0,52.0,33.0,15.0,15.0,3.0,9.0,6.0,6.0,109.0,56.0,38.0,20.0,15.0,15.0,22.0,37.0,1128.0,87.0,587.0
17,1,Brisbane,Brisbane International,20110501,ATP250,Outdoor,Hard,2nd Round,3,Giraldo S.,Becker B.,64,53.0,785,877.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.35,1.55,2.2,1.62,2.23,1.74,2.2,1.62,2.38,1.74,2.22,1.62,2011-339,Brisbane,Hard,32.0,A,20110102.0,22.0,105053.0,,,Santiago Giraldo,R,188.0,COL,23.1,103794.0,,,Benjamin Becker,R,178.0,GER,29.5,6-3 6-4,3.0,R16,78.0,2.0,0.0,73.0,52.0,36.0,13.0,10.0,6.0,6.0,7.0,0.0,43.0,26.0,21.0,10.0,9.0,0.0,2.0,64.0,785.0,53.0,877.0
