,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,Adelaide International 1,20220301,ATP250,Outdoor,Hard,1st Round,3.0,Kwon S.W.,Nishioka Y.,53,81.0,1115,823.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.7,2.26,1.76,2.5,1.64,2.22,2022-8998,Adelaide,Hard,32.0,A,20220103.0,278.0,126952.0,8.0,,Soon Woo Kwon,R,180.0,KOR,24.0,106415.0,,,Yoshihito Nishioka,L,170.0,JPN,26.2,6-1 6-2,3.0,R32,67.0,10.0,1.0,49.0,30.0,23.0,9.0,8.0,1.0,2.0,3.0,3.0,57.0,28.0,13.0,11.0,7.0,7.0,12.0,53.0,1115.0,81.0,823.0
1,1,Adelaide,Adelaide International 1,20220301,ATP250,Outdoor,Hard,1st Round,3.0,Monteiro T.,Altmaier D.,89,84.0,805,813.0,6.0,2.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.61,2.49,1.6,2.6,1.62,2.38,1.57,2022-8998,Adelaide,Hard,32.0,A,20220103.0,275.0,106329.0,,,Thiago Monteiro,L,183.0,BRA,27.5,127157.0,,,Daniel Altmaier,R,191.0,GER,23.3,6-2 3-6 7-6(2),3.0,R32,144.0,9.0,1.0,80.0,53.0,40.0,16.0,14.0,2.0,5.0,8.0,4.0,104.0,70.0,47.0,12.0,15.0,9.0,13.0,89.0,805.0,84.0,813.0
2,1,Adelaide,Adelaide International 1,20220301,ATP250,Outdoor,Hard,1st Round,3.0,Djere L.,Carballes Baena R.,52,79.0,1131,837.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.81,2.1,1.83,2.26,1.7,2.12,2022-8998,Adelaide,Hard,32.0,A,20220103.0,277.0,111513.0,7.0,,Laslo Djere,R,188.0,SRB,26.5,106148.0,,,Roberto Carballes Baena,R,183.0,ESP,28.7,7-5 7-6(1),3.0,R32,124.0,14.0,2.0,68.0,48.0,39.0,14.0,12.0,0.0,0.0,2.0,1.0,84.0,47.0,31.0,24.0,12.0,6.0,7.0,52.0,1131.0,79.0,837.0
3,1,Adelaide,Adelaide International 1,20220301,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Vukic A.,85,156.0,812,440.0,6.0,4.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.21,1.74,2.3,1.8,2.1,1.72,2022-8998,Adelaide,Hard,32.0,A,20220103.0,271.0,105449.0,,,Steve Johnson,R,188.0,USA,32.0,126846.0,,WC,Aleksandar Vukic,R,188.0,AUS,25.7,6-4 2-6 6-4,3.0,R32,105.0,10.0,5.0,83.0,47.0,38.0,19.0,14.0,3.0,5.0,9.0,1.0,84.0,54.0,42.0,15.0,14.0,4.0,6.0,85.0,812.0,156.0,440.0
4,1,Adelaide,Adelaide International 1,20220401,ATP250,Outdoor,Hard,1st Round,3.0,Moutet C.,Rune H.,92,103.0,797,740.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.66,1.53,2.81,1.54,2.64,1.47,2022-8998,Adelaide,Hard,32.0,A,20220103.0,276.0,144895.0,,,Corentin Moutet,L,178.0,FRA,22.7,208029.0,,Q,Holger Rune,R,185.0,DEN,18.6,7-6(6) 6-4,3.0,R32,108.0,2.0,1.0,77.0,56.0,41.0,9.0,11.0,3.0,4.0,3.0,4.0,64.0,36.0,29.0,15.0,11.0,1.0,3.0,92.0,797.0,103.0,740.0
5,1,Adelaide,Adelaide International 1,20220401,ATP250,Outdoor,Hard,1st Round,3.0,Daniel T.,Musetti L.,125,59.0,584,1004.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.8,2.19,1.75,2.25,1.8,2.09,1.73,2022-8998,Adelaide,Hard,32.0,A,20220103.0,283.0,106121.0,,Q,Taro Daniel,R,191.0,JPN,28.9,207518.0,,,Lorenzo Musetti,R,185.0,ITA,19.8,6-4 6-7(5) 6-3,3.0,R32,153.0,12.0,1.0,97.0,70.0,55.0,15.0,16.0,0.0,0.0,3.0,2.0,92.0,56.0,41.0,21.0,15.0,2.0,4.0,125.0,584.0,59.0,1004.0
6,1,Adelaide,Adelaide International 1,20220401,ATP250,Outdoor,Hard,1st Round,3.0,Gerasimov E.,Fucsovics M.,113,40.0,665,1459.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.57,2.91,1.46,2.91,1.57,2.62,1.48,2022-8998,Adelaide,Hard,32.0,A,20220103.0,273.0,106078.0,,Q,Egor Gerasimov,R,196.0,BLR,29.1,105916.0,5.0,,Marton Fucsovics,R,188.0,HUN,29.9,6-3 6-4,3.0,R32,77.0,1.0,1.0,56.0,35.0,27.0,11.0,10.0,1.0,2.0,3.0,3.0,53.0,37.0,26.0,6.0,9.0,3.0,6.0,113.0,665.0,40.0,1459.0
7,1,Adelaide,Adelaide International 1,20220401,ATP250,Outdoor,Hard,1st Round,3.0,Ymer M.,Bonzi B.,94,64.0,782,969.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.15,1.78,2.15,1.82,2.04,1.77,2022-8998,Adelaide,Hard,32.0,A,20220103.0,279.0,144707.0,,,Mikael Ymer,R,183.0,SWE,23.3,126127.0,,,Benjamin Bonzi,R,185.0,FRA,25.5,7-5 7-5,3.0,R32,102.0,3.0,1.0,73.0,59.0,43.0,6.0,12.0,2.0,4.0,3.0,2.0,76.0,46.0,32.0,13.0,12.0,3.0,7.0,94.0,782.0,64.0,969.0
8,1,Adelaide,Adelaide International 1,20220401,ATP250,Outdoor,Hard,1st Round,3.0,Cerundolo J.M.,Bolt A.,90,137.0,803,506.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.87,1.47,3.32,1.47,2.89,1.41,2022-8998,Adelaide,Hard,32.0,A,20220103.0,284.0,207678.0,,,Juan Manuel Cerundolo,L,183.0,ARG,20.1,106109.0,,WC,Alex Bolt,L,183.0,AUS,28.9,6-2 6-4,3.0,R32,79.0,2.0,4.0,71.0,48.0,34.0,10.0,9.0,9.0,10.0,6.0,5.0,49.0,29.0,22.0,7.0,9.0,2.0,6.0,90.0,803.0,137.0,506.0
9,1,Adelaide,Adelaide International 1,20220401,ATP250,Outdoor,Hard,1st Round,3.0,Paul T.,Vesely J.,43,83.0,1349,822.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.4,1.35,3.45,1.35,3.6,1.32,3.35,2022-8998,Adelaide,Hard,32.0,A,20220103.0,282.0,126205.0,6.0,,Tommy Paul,R,185.0,USA,24.6,106210.0,,,Jiri Vesely,L,198.0,CZE,28.4,6-4 4-6 6-4,3.0,R32,136.0,6.0,0.0,81.0,46.0,38.0,20.0,15.0,3.0,5.0,16.0,4.0,97.0,68.0,51.0,13.0,15.0,7.0,10.0,43.0,1349.0,83.0,822.0
