,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Tsonga J.W.,Hanescu V.,43.0,76.0,714.0,517.0,6.0,3.0,4.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.28,3.5,1.35,3.1,1.286,3.5,1.364,3.55,1.33,3.2,2008-339,Adelaide,Hard,32.0,A,20071231.0,4.0,104542.0,6.0,,Jo-Wilfried Tsonga,R,188.0,FRA,22.7,103812.0,,,Victor Hanescu,R,198.0,ROU,26.4,6-3 4-6 7-5,3.0,R32,120.0,11.0,6.0,84.0,46.0,38.0,21.0,16.0,3.0,6.0,1.0,0.0,93.0,56.0,39.0,19.0,15.0,3.0,7.0,43.0,714.0,76.0,517.0
11,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Spadea V.,Grosjean S.,77.0,53.0,515.0,621.0,4.0,6.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,2.87,1.38,3.1,1.35,2.625,1.444,2.94,1.467,2.68,1.45,2008-339,Adelaide,Hard,32.0,A,20071231.0,8.0,102434.0,,,Vincent Spadea,R,183.0,USA,33.4,103206.0,8.0,,Sebastien Grosjean,R,175.0,FRA,29.5,4-6 6-1 6-3,3.0,R32,115.0,6.0,3.0,84.0,46.0,31.0,18.0,13.0,5.0,9.0,6.0,5.0,83.0,47.0,33.0,11.0,13.0,3.0,10.0,77.0,515.0,53.0,621.0
12,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Acasuso J.,Falla A.,65.0,81.0,566.0,481.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,2.03,1.885,1.84,1.92,2008-339,Adelaide,Hard,32.0,A,20071231.0,2.0,104076.0,,,Jose Acasuso,R,190.0,ARG,25.1,104268.0,,,Alejandro Falla,L,185.0,COL,24.1,6-3 7-6(3),3.0,R32,101.0,8.0,4.0,76.0,40.0,31.0,14.0,11.0,8.0,12.0,2.0,1.0,68.0,40.0,21.0,14.0,10.0,5.0,10.0,65.0,566.0,81.0,481.0
13,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Hewitt L.,Sela D.,21.0,64.0,1365.0,573.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.0,1.15,5.2,1.167,4.5,1.222,5.1,1.2,4.35,2008-339,Adelaide,Hard,32.0,A,20071231.0,1.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,26.8,104534.0,,,Dudi Sela,R,175.0,ISR,22.7,6-2 6-2,3.0,R32,66.0,7.0,2.0,46.0,29.0,26.0,8.0,8.0,3.0,3.0,5.0,2.0,59.0,37.0,22.0,8.0,8.0,7.0,11.0,21.0,1365.0,64.0,573.0
14,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Dancevic F.,Bolelli S.,72.0,67.0,521.0,541.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.7,2.1,1.571,2.25,1.645,2.45,1.57,2.34,2008-339,Adelaide,Hard,32.0,A,20071231.0,6.0,104433.0,,Q,Frank Dancevic,R,185.0,CAN,23.2,104620.0,,,Simone Bolelli,R,183.0,ITA,22.2,6-2 7-6(3),3.0,R32,77.0,4.0,0.0,73.0,39.0,30.0,22.0,10.0,5.0,5.0,8.0,2.0,65.0,43.0,29.0,12.0,10.0,3.0,5.0,72.0,521.0,67.0,541.0
15,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Gulbis E.,Golubev A.,61.0,177.0,585.0,239.0,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,2.75,,,1.4,2.75,1.51,2.81,,,2008-339,Adelaide,Hard,32.0,A,20071231.0,3.0,105208.0,,,Ernests Gulbis,R,190.0,LAT,19.3,104979.0,,Q,Andrey Golubev,R,185.0,KAZ,20.4,6-7(9) 6-4 6-2,3.0,R32,138.0,7.0,6.0,133.0,80.0,59.0,22.0,15.0,14.0,16.0,6.0,4.0,109.0,63.0,43.0,20.0,15.0,3.0,8.0,61.0,585.0,177.0,239.0
16,1,Adelaide,Next Generation Adelaide International,20080201,International,Outdoor,Hard,2nd Round,3,Sirianni J.,Querrey S.,195.0,63.0,218.0,573.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,3.35,1.3,3.25,1.333,3.31,1.398,3.2,1.33,2008-339,Adelaide,Hard,32.0,A,20071231.0,23.0,102512.0,,WC,Joseph Sirianni,R,175.0,AUS,32.9,105023.0,,,Sam Querrey,R,198.0,USA,20.2,6-7(5) 6-2 6-3,3.0,R16,109.0,4.0,2.0,92.0,50.0,42.0,24.0,15.0,4.0,5.0,18.0,1.0,94.0,59.0,41.0,16.0,14.0,4.0,8.0,195.0,218.0,63.0,573.0
17,1,Adelaide,Next Generation Adelaide International,20080201,International,Outdoor,Hard,2nd Round,3,Becker B.,Russell M.,84.0,82.0,476.0,481.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,2.15,1.65,2.2,1.615,2.28,1.725,2.2,1.64,2008-339,Adelaide,Hard,32.0,A,20071231.0,21.0,103794.0,,,Benjamin Becker,R,178.0,GER,26.5,103188.0,,,Michael Russell,R,173.0,USA,29.6,6-4 6-4,3.0,R16,80.0,8.0,1.0,58.0,35.0,29.0,12.0,10.0,4.0,5.0,3.0,2.0,61.0,37.0,27.0,12.0,10.0,4.0,7.0,84.0,476.0,82.0,481.0
18,1,Adelaide,Next Generation Adelaide International,20080201,International,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Guccione C.,25.0,91.0,1320.0,462.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.4,2.75,1.37,2.92,1.4,2.75,1.442,3.06,1.37,3.0,2008-339,Adelaide,Hard,32.0,A,20071231.0,24.0,103908.0,2.0,,Paul Henri Mathieu,R,185.0,FRA,25.9,104589.0,,WC,Chris Guccione,L,201.0,AUS,22.4,4-6 6-3 6-4,3.0,R16,93.0,9.0,4.0,78.0,41.0,35.0,24.0,15.0,2.0,3.0,24.0,2.0,69.0,46.0,37.0,13.0,14.0,1.0,3.0,25.0,1320.0,91.0,462.0
19,1,Adelaide,Next Generation Adelaide International,20080201,International,Outdoor,Hard,2nd Round,3,Llodra M.,Korolev E.,93.0,80.0,460.0,487.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.75,2.0,1.833,1.833,1.87,2.05,1.72,2.08,2008-339,Adelaide,Hard,32.0,A,20071231.0,22.0,103566.0,,,Michael Llodra,L,190.0,FRA,27.6,105095.0,,,Evgeny Korolev,R,185.0,KAZ,19.8,7-6(3) 6-3,3.0,R16,83.0,14.0,5.0,64.0,41.0,36.0,14.0,10.0,6.0,6.0,1.0,2.0,72.0,42.0,31.0,16.0,11.0,1.0,3.0,93.0,460.0,80.0,487.0
