,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Nieminen J.,52.0,88.0,850.0,568.0,6.0,3.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.44,2.62,1.48,2.53,1.533,2.375,1.526,2.74,1.5,2.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,3.0,104755.0,,,Richard Gasquet,R,185.0,FRA,23.5,103813.0,,,Jarkko Nieminen,L,185.0,FIN,28.4,6-3 4-6 6-4,3.0,R32,121.0,5.0,4.0,97.0,51.0,33.0,27.0,15.0,5.0,8.0,4.0,0.0,85.0,58.0,38.0,14.0,14.0,7.0,11.0,52.0,850.0,88.0,568.0
1,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Odesnik W.,Clement A.,105.0,63.0,521.0,667.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.2,1.65,2.25,1.571,2.14,1.813,2.25,1.571,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,14.0,104639.0,,,Wayne Odesnik,L,180.0,USA,24.1,103096.0,,,Arnaud Clement,R,173.0,FRA,32.0,6-4 7-6(2),3.0,R32,113.0,10.0,1.0,86.0,58.0,36.0,17.0,11.0,7.0,9.0,7.0,2.0,67.0,42.0,32.0,11.0,11.0,4.0,7.0,105.0,521.0,63.0,667.0
2,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Gicquel M.,Petzschner P.,58.0,80.0,744.0,587.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.65,2.2,1.667,2.1,1.676,2.36,1.615,2.2,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,10.0,102967.0,,,Marc Gicquel,R,188.0,FRA,32.7,104332.0,,,Philipp Petzschner,R,185.0,GER,25.7,6-3 6-1,3.0,R32,50.0,4.0,1.0,38.0,27.0,25.0,8.0,8.0,0.0,0.0,4.0,2.0,46.0,21.0,15.0,10.0,8.0,1.0,5.0,58.0,744.0,80.0,587.0
3,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Chardy J.,81.0,32.0,587.0,1102.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.58,1.46,2.5,1.5,2.58,1.581,2.5,1.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,13.0,104268.0,,,Alejandro Falla,L,185.0,COL,26.1,104871.0,7.0,,Jeremy Chardy,R,188.0,FRA,22.8,6-4 6-4,3.0,R32,73.0,2.0,2.0,59.0,25.0,19.0,24.0,10.0,3.0,3.0,6.0,2.0,56.0,32.0,25.0,11.0,10.0,3.0,5.0,81.0,587.0,32.0,1102.0
4,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Levy H.,Llodra M.,119.0,67.0,461.0,649.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.6,1.46,2.625,1.444,2.17,1.787,3.0,1.333,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,7.0,103248.0,,,Harel Levy,R,185.0,ISR,31.4,103566.0,,,Michael Llodra,L,190.0,FRA,29.6,6-2 6-0,3.0,R32,41.0,8.0,0.0,35.0,23.0,18.0,10.0,7.0,0.0,0.0,0.0,0.0,46.0,36.0,17.0,3.0,7.0,5.0,10.0,119.0,461.0,67.0,649.0
5,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Chela J.I.,36.0,73.0,1021.0,611.0,6.0,3.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.61,2.2,1.65,2.15,1.615,2.2,1.758,2.22,1.727,2.0,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,8.0,105064.0,8.0,,Thomaz Bellucci,L,188.0,BRA,22.0,103428.0,,,Juan Ignacio Chela,R,190.0,ARG,30.3,6-3 3-6 6-1,3.0,R32,105.0,12.0,4.0,87.0,58.0,37.0,14.0,13.0,6.0,10.0,1.0,1.0,71.0,38.0,20.0,17.0,12.0,2.0,8.0,36.0,1021.0,73.0,611.0
6,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Millman J.,12.0,306.0,2625.0,137.0,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.04,9.0,1.087,9.95,1.03,10.0,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,16.0,103285.0,2.0,,Radek Stepanek,R,185.0,CZE,31.1,105357.0,,WC,John Millman,R,183.0,AUS,20.5,6-4 6-0,3.0,R32,70.0,3.0,2.0,46.0,34.0,29.0,3.0,8.0,2.0,3.0,1.0,4.0,52.0,27.0,14.0,10.0,8.0,1.0,6.0,12.0,2625.0,306.0,137.0
7,1,Brisbane,Brisbane International,20100401,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Luczak P.,7.0,77.0,4410.0,598.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.08,7.0,1.13,5.5,1.111,6.0,1.121,7.83,1.125,5.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,1.0,104053.0,1.0,,Andy Roddick,R,188.0,USA,27.3,103429.0,,,Peter Luczak,R,183.0,AUS,30.3,7-6(5) 6-2,3.0,R32,84.0,15.0,0.0,63.0,42.0,36.0,14.0,10.0,3.0,3.0,4.0,2.0,56.0,34.0,29.0,11.0,10.0,3.0,5.0,7.0,4410.0,77.0,598.0
8,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Tomic B.,131.0,286.0,413.0,150.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.7,2.1,1.833,1.833,1.758,2.22,1.727,2.0,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,15.0,105238.0,,Q,Alexandr Dolgopolov,R,180.0,UKR,21.1,106071.0,,WC,Bernard Tomic,R,193.0,AUS,17.2,6-4 6-4,3.0,R32,69.0,13.0,1.0,62.0,37.0,29.0,13.0,10.0,3.0,4.0,2.0,1.0,75.0,45.0,33.0,10.0,10.0,8.0,11.0,131.0,413.0,286.0,150.0
9,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Lindahl N.,20.0,251.0,1655.0,179.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.12,5.5,1.18,4.45,1.16,4.5,1.163,6.26,1.17,4.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,5.0,104607.0,4.0,,Tomas Berdych,R,196.0,CZE,24.2,105194.0,,Q,Nick Lindahl,R,183.0,AUS,21.4,6-2 6-4,3.0,R32,69.0,3.0,1.0,46.0,27.0,24.0,14.0,9.0,1.0,1.0,6.0,1.0,69.0,41.0,26.0,14.0,9.0,6.0,9.0,20.0,1655.0,251.0,179.0
10,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Fish M.,42.0,55.0,945.0,790.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.37,3.0,1.4,2.75,1.377,3.41,1.4,2.75,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,6.0,104571.0,,,Marcos Baghdatis,R,183.0,CYP,24.5,103888.0,,,Mardy Fish,R,188.0,USA,28.0,7-5 7-5,3.0,R32,101.0,7.0,5.0,62.0,32.0,27.0,17.0,12.0,0.0,1.0,7.0,3.0,77.0,36.0,28.0,20.0,12.0,3.0,6.0,42.0,945.0,55.0,790.0
11,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Ball C.,Zverev M.,134.0,78.0,400.0,590.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.05,1.75,2.0,1.727,1.917,2.01,2.25,1.571,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,2.0,104958.0,,WC,Carsten Ball,L,198.0,AUS,22.5,104999.0,,,Mischa Zverev,L,190.0,GER,22.3,7-5 6-1,3.0,R32,70.0,10.0,3.0,57.0,30.0,23.0,19.0,10.0,0.0,0.0,2.0,2.0,66.0,34.0,22.0,14.0,9.0,7.0,10.0,134.0,400.0,78.0,590.0
12,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Blake J.,Querrey S.,44.0,25.0,935.0,1320.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.72,2.0,1.65,2.15,1.615,2.2,1.769,2.2,1.667,2.1,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,9.0,103484.0,,,James Blake,R,185.0,USA,30.0,105023.0,5.0,,Sam Querrey,R,198.0,USA,22.2,4-6 6-3 6-4,3.0,R32,88.0,10.0,3.0,86.0,47.0,40.0,24.0,15.0,2.0,3.0,9.0,3.0,85.0,52.0,41.0,16.0,14.0,3.0,5.0,44.0,935.0,25.0,1320.0
13,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Melzer J.,285.0,28.0,151.0,1260.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,5.0,1.14,4.92,1.15,1.14,5.0,5.57,1.19,1.17,4.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,4.0,105051.0,,Q,Matthew Ebden,R,188.0,AUS,22.1,103781.0,6.0,,Jurgen Melzer,L,183.0,AUT,28.6,7-5 6-1,3.0,R32,64.0,12.0,1.0,50.0,35.0,30.0,12.0,10.0,3.0,3.0,2.0,1.0,53.0,29.0,16.0,15.0,9.0,2.0,5.0,285.0,151.0,28.0,1260.0
14,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Reister J.,65.0,173.0,665.0,284.0,6.0,7.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.44,2.62,1.42,2.75,1.44,2.62,1.483,2.9,1.44,2.63,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,11.0,103722.0,,,Florent Serra,R,180.0,FRA,28.8,104714.0,,Q,Julian Reister,R,188.0,GER,23.7,6-7(3) 7-6(5) 7-5,3.0,R32,160.0,9.0,1.0,107.0,67.0,46.0,28.0,18.0,2.0,5.0,7.0,1.0,143.0,105.0,69.0,19.0,18.0,5.0,9.0,65.0,665.0,173.0,284.0
15,1,Brisbane,Brisbane International,20100501,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Dent T.,13.0,76.0,2610.0,602.0,7.0,6.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.22,4.0,1.25,3.75,1.286,3.5,1.294,4.05,1.25,3.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,12.0,104792.0,3.0,,Gael Monfils,R,193.0,FRA,23.3,103758.0,,,Taylor Dent,R,188.0,USA,28.6,7-6(1) 6-7(5) 6-2,3.0,R32,133.0,9.0,4.0,104.0,60.0,48.0,28.0,16.0,5.0,5.0,6.0,4.0,105.0,67.0,52.0,17.0,16.0,8.0,10.0,13.0,2610.0,76.0,602.0
16,1,Brisbane,Brisbane International,20100601,ATP250,Outdoor,Hard,2nd Round,3,Blake J.,Gicquel M.,44.0,58.0,935.0,744.0,6.0,3.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.36,3.0,1.35,3.1,1.3,3.4,1.424,3.15,1.333,3.0,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,21.0,103484.0,,,James Blake,R,185.0,USA,30.0,102967.0,,,Marc Gicquel,R,188.0,FRA,32.7,6-3 3-6 7-6(8),3.0,R16,120.0,13.0,2.0,95.0,51.0,42.0,23.0,15.0,2.0,4.0,8.0,5.0,120.0,65.0,45.0,30.0,15.0,8.0,10.0,44.0,935.0,58.0,744.0
17,1,Brisbane,Brisbane International,20100601,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Dolgopolov O.,12.0,131.0,2625.0,413.0,5.0,7.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.12,5.5,1.13,5.5,1.12,5.5,1.159,6.39,1.125,5.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,24.0,103285.0,2.0,,Radek Stepanek,R,185.0,CZE,31.1,105238.0,,Q,Alexandr Dolgopolov,R,180.0,UKR,21.1,5-7 7-6(4) 6-2,3.0,R16,140.0,11.0,7.0,108.0,70.0,53.0,18.0,16.0,4.0,7.0,9.0,6.0,98.0,49.0,40.0,22.0,16.0,4.0,8.0,12.0,2625.0,131.0,413.0
18,1,Brisbane,Brisbane International,20100601,ATP250,Outdoor,Hard,2nd Round,3,Odesnik W.,Falla A.,105.0,81.0,521.0,587.0,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,2.25,1.57,2.1,1.7,2.1,1.667,2.4,1.658,2.0,1.727,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,23.0,104639.0,,,Wayne Odesnik,L,180.0,USA,24.1,104268.0,,,Alejandro Falla,L,185.0,COL,26.1,6-7(8) 6-2 6-1,3.0,R16,136.0,4.0,1.0,96.0,57.0,41.0,24.0,14.0,6.0,7.0,8.0,6.0,82.0,44.0,33.0,14.0,13.0,4.0,9.0,105.0,521.0,81.0,587.0
19,1,Brisbane,Brisbane International,20100601,ATP250,Outdoor,Hard,2nd Round,3,Roddick A.,Ball C.,7.0,134.0,4410.0,400.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.07,7.19,1.083,7.0,1.125,7.65,1.063,7.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,17.0,104053.0,1.0,,Andy Roddick,R,188.0,USA,27.3,104958.0,,WC,Carsten Ball,L,198.0,AUS,22.5,7-6(0) 6-3,3.0,R16,81.0,9.0,0.0,59.0,49.0,41.0,8.0,11.0,1.0,1.0,8.0,3.0,68.0,36.0,26.0,18.0,10.0,7.0,8.0,7.0,4410.0,134.0,400.0
20,1,Brisbane,Brisbane International,20100601,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Ebden M.,52.0,285.0,850.0,151.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.17,4.67,1.2,4.33,1.258,4.45,1.17,4.5,,,,,2010-339,Brisbane,Hard,32.0,A,20100103.0,18.0,104755.0,,,Richard Gasquet,R,185.0,FRA,23.5,105051.0,,Q,Matthew Ebden,R,188.0,AUS,22.1,6-3 6-4,3.0,R16,80.0,6.0,2.0,59.0,37.0,30.0,12.0,10.0,3.0,4.0,5.0,0.0,55.0,36.0,22.0,9.0,9.0,3.0,6.0,52.0,850.0,285.0,151.0
