,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20121231,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Giraldo S.,28.0,57.0,1215.0,778.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.45,2.65,1.44,2.62,1.47,2.85,1.44,2.63,1.47,3.2,1.42,2.78,2013-339,Brisbane,Hard,28.0,A,20121230.0,7.0,104252.0,6.0,,Florian Mayer,R,190.0,GER,29.2,105053.0,,,Santiago Giraldo,R,188.0,COL,25.0,6-4 6-4,3.0,R32,65.0,6.0,1.0,50.0,33.0,27.0,14.0,10.0,0.0,0.0,3.0,0.0,54.0,40.0,30.0,7.0,10.0,0.0,2.0,28.0,1215.0,57.0,778.0
1,1,Brisbane,Brisbane International,20121231,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Benneteau J.,41.0,35.0,927.0,1075.0,6.0,3.0,2.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.61,2.2,1.75,2.0,1.8,1.91,1.8,2.1,1.73,2.0,1.8,2.26,1.73,2.05,2013-339,Brisbane,Hard,28.0,A,20121230.0,4.0,103813.0,,,Jarkko Nieminen,L,185.0,FIN,31.4,103898.0,,,Julien Benneteau,R,185.0,FRA,31.0,6-3 2-6 6-1,3.0,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0,41.0,927.0,35.0,1075.0
2,1,Brisbane,Brisbane International,20121231,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Matosevic M.,19.0,49.0,1830.0,845.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.3,3.85,1.3,3.2,1.3,4.2,1.28,3.58,2013-339,Brisbane,Hard,28.0,A,20121230.0,6.0,105453.0,5.0,,Kei Nishikori,R,178.0,JPN,23.0,104594.0,,,Marinko Matosevic,R,194.0,AUS,27.3,7-5 6-2,3.0,R32,102.0,2.0,0.0,72.0,45.0,29.0,17.0,10.0,4.0,5.0,3.0,1.0,70.0,37.0,25.0,13.0,10.0,3.0,7.0,19.0,1830.0,49.0,845.0
3,1,Brisbane,Brisbane International,20121231,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Mitchell B.,36.0,326.0,1070.0,137.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.07,9.0,1.06,8.0,1.08,7.0,1.08,9.43,1.07,7.0,1.1,9.5,1.08,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Brisbane,Brisbane International,20130101,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Klizan M.,43.0,30.0,897.0,1175.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.87,1.87,1.91,1.8,1.88,2.0,1.91,1.8,2.05,2.0,1.88,1.85,2013-339,Brisbane,Hard,28.0,A,20121230.0,3.0,104797.0,,,Denis Istomin,R,188.0,UZB,26.3,105373.0,8.0,,Martin Klizan,L,190.0,SVK,23.4,6-1 6-2,3.0,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0,43.0,897.0,30.0,1175.0
5,1,Brisbane,Brisbane International,20130101,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Ito T.,199.0,79.0,239.0,655.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.75,2.0,1.73,2.0,1.7,2.27,1.8,1.91,1.85,2.28,1.71,2.08,2013-339,Brisbane,Hard,28.0,A,20121230.0,1.0,105357.0,,Q,John Millman,R,183.0,AUS,23.5,105147.0,,,Tatsuma Ito,R,180.0,JPN,24.6,6-4 6-1,3.0,R32,86.0,7.0,6.0,69.0,44.0,33.0,11.0,9.0,3.0,4.0,2.0,5.0,53.0,26.0,19.0,8.0,8.0,3.0,7.0,199.0,239.0,79.0,655.0
6,1,Brisbane,Brisbane International,20130101,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Levine J.,54.0,104.0,809.0,530.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.08,1.67,1.91,1.8,2.26,1.7,2.0,1.73,2.32,1.83,2.08,1.7,2013-339,Brisbane,Hard,28.0,A,20121230.0,9.0,104268.0,,,Alejandro Falla,L,185.0,COL,29.1,105028.0,,Q,Jesse Levine,L,175.0,CAN,25.2,6-1 7-6(8),3.0,R32,78.0,11.0,1.0,59.0,46.0,40.0,8.0,10.0,0.0,0.0,5.0,2.0,74.0,45.0,29.0,16.0,9.0,8.0,10.0,54.0,809.0,104.0,530.0
7,1,Brisbane,Brisbane International,20130101,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Kudla D.,29.0,137.0,1177.0,402.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.44,2.62,1.55,2.35,1.44,2.62,1.6,2.47,1.5,2.5,1.63,2.82,1.52,2.46,2013-339,Brisbane,Hard,28.0,A,20121230.0,10.0,103781.0,7.0,,Jurgen Melzer,L,183.0,AUT,31.6,106045.0,,Q,Denis Kudla,R,180.0,USA,20.3,2-6 6-4 6-4,3.0,R32,107.0,5.0,1.0,78.0,55.0,40.0,12.0,14.0,3.0,6.0,3.0,3.0,91.0,48.0,37.0,20.0,14.0,4.0,7.0,29.0,1177.0,137.0,402.0
8,1,Brisbane,Brisbane International,20130101,ATP250,Outdoor,Hard,1st Round,3,Robredo T.,Harrison R.,114.0,69.0,495.0,710.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.5,1.5,2.38,1.53,2.93,1.45,2.5,1.5,3.25,1.53,2.66,1.47,2013-339,Brisbane,Hard,28.0,A,20121230.0,5.0,103990.0,,,Tommy Robredo,R,180.0,ESP,30.6,105992.0,,Q,Ryan Harrison,R,183.0,USA,20.6,6-4 7-6(4),3.0,R32,96.0,6.0,0.0,64.0,50.0,43.0,8.0,11.0,1.0,1.0,4.0,1.0,68.0,39.0,26.0,20.0,11.0,0.0,1.0,114.0,495.0,69.0,710.0
9,1,Brisbane,Brisbane International,20130101,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Baker B.,48.0,61.0,866.0,756.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.4,2.8,1.44,2.62,1.38,3.3,1.4,2.75,1.45,3.55,1.39,2.87,2013-339,Brisbane,Hard,28.0,A,20121230.0,12.0,105777.0,,,Grigor Dimitrov,R,188.0,BUL,21.6,104548.0,,,Brian Baker,R,190.0,USA,27.6,6-3 7-6(8),3.0,R32,82.0,10.0,1.0,64.0,40.0,33.0,15.0,11.0,0.0,1.0,6.0,2.0,70.0,49.0,28.0,16.0,10.0,3.0,5.0,48.0,866.0,61.0,756.0
