,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,Next Generation Adelaide International,20070101,International,Outdoor,Hard,Round Robin,3,Luczak P.,Hrbaty D.,166.0,21.0,245.0,1238.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.87,1.36,2.85,1.4,2.75,1.42,3.09,1.437,2.77,1.42,2007-339,Adelaide,Hard,32.0,A,20070101.0,507.0,103429.0,,WC,Peter Luczak,R,183.0,AUS,27.3,103103.0,5.0,,Dominik Hrbaty,R,183.0,SVK,28.9,7-6(7) 6-3,3.0,RR,92.0,6.0,4.0,76.0,45.0,28.0,17.0,11.0,9.0,12.0,2.0,7.0,70.0,35.0,24.0,14.0,10.0,3.0,7.0,166.0,245.0,21.0,1238.0
1,1,Adelaide,Next Generation Adelaide International,20070101,International,Outdoor,Hard,Round Robin,3,Serra F.,Johansson J.,60.0,193.0,665.0,202.0,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,3.0,1.33,2.85,1.4,2.53,1.48,2.92,1.472,2.65,1.45,2007-339,Adelaide,Hard,32.0,A,20070101.0,513.0,103722.0,,,Florent Serra,R,180.0,FRA,25.8,104026.0,,,Joachim Johansson,R,198.0,SWE,24.5,2-6 6-3 6-4,3.0,RR,,,,,,,,,,,,,,,,,,,,60.0,665.0,193.0,202.0
2,1,Adelaide,Next Generation Adelaide International,20070101,International,Outdoor,Hard,Round Robin,3,Jones A.,Hajek J.,200.0,76.0,194.0,509.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.93,1.83,1.95,1.8,2.0,1.909,2.05,1.73,2007-339,Adelaide,Hard,32.0,A,20070101.0,536.0,103553.0,,WC,Alun Jones,R,180.0,AUS,26.6,104225.0,,,Jan Hajek,R,180.0,CZE,23.4,6-3 6-2,3.0,RR,65.0,4.0,1.0,64.0,36.0,24.0,12.0,8.0,8.0,10.0,3.0,6.0,51.0,22.0,13.0,10.0,9.0,5.0,11.0,200.0,194.0,76.0,509.0
3,1,Adelaide,Next Generation Adelaide International,20070101,International,Outdoor,Hard,Round Robin,3,Guccione C.,Becker B.,153.0,58.0,287.0,686.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.37,1.53,2.3,1.6,2.3,1.6,2.56,1.602,2.17,1.65,2007-339,Adelaide,Hard,32.0,A,20070101.0,525.0,104589.0,,WC,Chris Guccione,L,201.0,AUS,21.4,103794.0,,,Benjamin Becker,R,178.0,GER,25.5,7-5 6-3,3.0,RR,67.0,18.0,0.0,57.0,36.0,31.0,15.0,11.0,0.0,0.0,6.0,2.0,65.0,35.0,26.0,15.0,10.0,3.0,5.0,153.0,287.0,58.0,686.0
4,1,Adelaide,Next Generation Adelaide International,20070201,International,Outdoor,Hard,Round Robin,3,Mathieu P.H.,Hernych J.,55.0,75.0,723.0,511.0,4.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,1.5,2.5,1.55,2.4,1.5,2.45,1.483,2.87,1.47,2.6,2007-339,Adelaide,Hard,32.0,A,20070101.0,501.0,103908.0,8.0,,Paul Henri Mathieu,R,185.0,FRA,24.9,103401.0,,,Jan Hernych,R,190.0,CZE,27.4,4-6 6-3 6-3,3.0,RR,115.0,1.0,1.0,75.0,49.0,32.0,16.0,14.0,2.0,5.0,8.0,1.0,82.0,54.0,36.0,10.0,14.0,6.0,11.0,55.0,723.0,75.0,511.0
5,1,Adelaide,Next Generation Adelaide International,20070201,International,Outdoor,Hard,Round Robin,3,Djokovic N.,Hajek J.,16.0,76.0,1380.0,509.0,6.0,0.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.08,6.5,1.11,6.25,1.07,7.19,1.137,7.6,1.09,6.7,2007-339,Adelaide,Hard,32.0,A,20070101.0,531.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,19.6,104225.0,,,Jan Hajek,R,180.0,CZE,23.4,6-0 6-1,3.0,RR,58.0,9.0,1.0,40.0,28.0,23.0,5.0,6.0,1.0,1.0,3.0,3.0,57.0,28.0,18.0,5.0,7.0,9.0,15.0,16.0,1380.0,76.0,509.0
6,1,Adelaide,Next Generation Adelaide International,20070201,International,Outdoor,Hard,Round Robin,3,Goldstein P.,Hrbaty D.,70.0,21.0,526.0,1238.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.87,1.36,3.2,1.33,3.1,1.35,3.51,1.369,3.0,1.37,2007-339,Adelaide,Hard,32.0,A,20070101.0,506.0,102834.0,,,Paul Goldstein,R,178.0,USA,30.4,103103.0,5.0,,Dominik Hrbaty,R,183.0,SVK,28.9,6-2 7-6(4),3.0,RR,88.0,4.0,1.0,67.0,31.0,21.0,20.0,10.0,1.0,4.0,5.0,5.0,65.0,39.0,21.0,12.0,10.0,3.0,8.0,70.0,526.0,21.0,1238.0
7,1,Adelaide,Next Generation Adelaide International,20070201,International,Outdoor,Hard,Round Robin,3,Gasquet R.,Mayer F.,18.0,56.0,1365.0,700.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.19,4.0,1.22,4.1,1.2,4.25,1.277,4.31,1.22,4.1,2007-339,Adelaide,Hard,32.0,A,20070101.0,527.0,104755.0,2.0,,Richard Gasquet,R,185.0,FRA,20.5,104252.0,,,Florian Mayer,R,190.0,GER,23.2,6-2 6-1,3.0,RR,50.0,1.0,1.0,47.0,26.0,18.0,16.0,8.0,2.0,2.0,1.0,3.0,42.0,25.0,14.0,6.0,7.0,1.0,5.0,18.0,1365.0,56.0,700.0
8,1,Adelaide,Next Generation Adelaide International,20070201,International,Outdoor,Hard,Round Robin,3,Spadea V.,Stepanek R.,73.0,19.0,514.0,1340.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.7,1.45,2.21,1.62,2.67,1.565,2.65,1.45,2007-339,Adelaide,Hard,32.0,A,20070101.0,508.0,102434.0,,,Vincent Spadea,R,183.0,USA,32.4,103285.0,3.0,,Radek Stepanek,R,185.0,CZE,28.0,6-4 6-4,3.0,RR,67.0,2.0,1.0,53.0,29.0,23.0,19.0,10.0,1.0,1.0,4.0,2.0,55.0,31.0,24.0,12.0,10.0,0.0,2.0,73.0,514.0,19.0,1340.0
9,1,Adelaide,Next Generation Adelaide International,20070201,International,Outdoor,Hard,Round Robin,3,Hewitt L.,Tipsarevic J.,20.0,64.0,1315.0,599.0,6.0,1.0,4.0,2.0,,,,,,,1.0,0.0,Retired,1.14,5.0,1.14,5.4,1.16,4.79,1.224,5.07,1.15,5.1,2007-339,Adelaide,Hard,32.0,A,20070101.0,526.0,103720.0,4.0,,Lleyton Hewitt,R,180.0,AUS,25.8,104386.0,,,Janko Tipsarevic,R,180.0,SRB,22.5,6-1 4-2,3.0,RR,59.0,9.0,2.0,39.0,20.0,18.0,9.0,7.0,1.0,2.0,1.0,2.0,40.0,22.0,12.0,5.0,6.0,2.0,6.0,20.0,1315.0,64.0,599.0
