,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Martin T.,Sampras P.,57,10,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2,1,Completed,,,3.8,1.22,3.0,1.3,2.7,1.3,2.875,1.364,2002-339,Adelaide,Hard,32.0,A,20011231.0,16.0,101774.0,,,Todd Martin,R,198.0,USA,31.4,101948.0,2.0,,Pete Sampras,R,185.0,USA,30.3,3-6 6-3 6-4,3.0,R32,115.0,11.0,4.0,99.0,64.0,46.0,19.0,14.0,3.0,4.0,14.0,4.0,79.0,48.0,39.0,14.0,14.0,2.0,4.0,57.0,620.0,10.0,1940.0
11,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Massu N.,Savolt A.,80,93,6.0,2.0,6.0,1.0,,,,,,,2,0,Completed,,,1.45,2.55,1.5,2.3,1.45,2.2,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,10.0,103454.0,,,Nicolas Massu,R,183.0,CHI,22.2,102722.0,,,Attila Savolt,R,183.0,HUN,25.9,6-2 6-1,3.0,R32,71.0,1.0,0.0,45.0,33.0,21.0,8.0,8.0,1.0,2.0,0.0,1.0,42.0,19.0,7.0,8.0,7.0,1.0,6.0,80.0,510.0,93.0,447.0
12,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Ilie A.,150,66,6.0,3.0,6.0,1.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,11.0,103908.0,,Q,Paul Henri Mathieu,R,185.0,FRA,19.9,102776.0,,,Andrew Ilie,R,180.0,AUS,25.7,6-3 6-1,3.0,R32,66.0,7.0,1.0,57.0,31.0,26.0,13.0,8.0,5.0,5.0,1.0,2.0,65.0,44.0,24.0,8.0,8.0,5.0,9.0,150.0,256.0,66.0,565.0
13,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Boutter J.,104,53,6.0,3.0,6.0,4.0,,,,,,,2,0,Completed,,,1.5,2.4,1.5,2.3,1.5,2.1,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,14.0,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,25.1,102369.0,,,Julien Boutter,R,190.0,FRA,27.7,6-3 6-4,3.0,R32,76.0,8.0,0.0,47.0,23.0,21.0,19.0,10.0,0.0,0.0,6.0,2.0,53.0,33.0,23.0,10.0,9.0,2.0,4.0,104.0,400.0,53.0,710.0
14,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Rusedski G.,Diaz J.,31,88,6.0,3.0,7.0,6.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,4.0,102257.0,6.0,,Greg Rusedski,L,193.0,GBR,28.3,102831.0,,,Jacobo Diaz,R,173.0,ESP,25.4,6-3 7-6(4),3.0,R32,82.0,15.0,3.0,54.0,37.0,35.0,9.0,11.0,0.0,1.0,2.0,4.0,80.0,57.0,36.0,11.0,10.0,7.0,9.0,31.0,1075.0,88.0,464.0
15,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Schalken S.,Kim A.,26,250,6.0,3.0,6.0,2.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,13.0,102854.0,5.0,,Sjeng Schalken,R,193.0,NED,25.3,103297.0,,Q,Alex Kim,R,175.0,USA,23.0,6-3 6-2,3.0,R32,99.0,3.0,1.0,63.0,39.0,27.0,15.0,9.0,2.0,2.0,0.0,2.0,53.0,36.0,19.0,9.0,8.0,2.0,5.0,26.0,1140.0,250.0,143.0
16,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Arazi H.,Mathieu P.H.,25,150,6.0,4.0,0.0,6.0,6.0,2.0,,,,,2,1,Completed,,,1.42,2.65,1.44,2.5,1.45,2.2,1.4,2.75,2002-339,Adelaide,Hard,32.0,A,20011231.0,22.0,102271.0,4.0,,Hicham Arazi,L,175.0,MAR,28.1,103908.0,,Q,Paul Henri Mathieu,R,185.0,FRA,19.9,6-4 0-6 6-2,3.0,R16,104.0,8.0,2.0,72.0,35.0,29.0,15.0,12.0,1.0,4.0,4.0,2.0,86.0,42.0,30.0,22.0,12.0,9.0,12.0,25.0,1155.0,150.0,256.0
17,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Golmard J.,24,50,6.0,4.0,4.0,6.0,6.0,1.0,,,,,2,1,Completed,,,1.3,3.2,1.33,2.85,1.3,2.7,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,19.0,102358.0,3.0,,Thomas Enqvist,R,190.0,SWE,27.8,102259.0,,,Jerome Golmard,L,188.0,FRA,28.3,6-4 4-6 6-1,3.0,R16,116.0,10.0,8.0,104.0,52.0,38.0,29.0,14.0,8.0,9.0,13.0,2.0,73.0,47.0,31.0,18.0,13.0,3.0,6.0,24.0,1165.0,50.0,722.0
18,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Henman T.,Carlsen K.,9,153,7.0,6.0,,,,,,,,,1,0,Retired,,,1.16,4.5,1.2,3.75,1.15,3.8,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,17.0,102450.0,1.0,,Tim Henman,R,185.0,GBR,27.3,102202.0,,,Kenneth Carlsen,L,190.0,DEN,28.7,7-6(2) RET,3.0,R16,55.0,1.0,0.0,40.0,30.0,24.0,5.0,6.0,0.0,0.0,3.0,0.0,43.0,28.0,21.0,8.0,7.0,3.0,3.0,9.0,2100.0,153.0,249.0
19,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Ljubicic I.,Massu N.,37,80,7.0,6.0,7.0,5.0,,,,,,,2,0,Completed,,,1.6,2.2,1.53,2.2,1.5,2.1,1.533,2.375,2002-339,Adelaide,Hard,32.0,A,20011231.0,21.0,103344.0,8.0,,Ivan Ljubicic,R,193.0,CRO,22.7,103454.0,,,Nicolas Massu,R,183.0,CHI,22.2,7-6(5) 7-5,3.0,R16,,,,,,,,,,,,,,,,,,,,37.0,982.0,80.0,510.0
20,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Martin A.,Chela J.I.,41,70,6.0,2.0,7.0,5.0,,,,,,,2,0,Completed,,,1.8,1.9,1.73,1.87,1.7,1.8,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,20.0,103252.0,,,Alberto Martin,R,175.0,ESP,23.3,103428.0,,,Juan Ignacio Chela,R,190.0,ARG,22.3,6-2 7-5,3.0,R16,86.0,0.0,3.0,70.0,47.0,31.0,13.0,10.0,5.0,6.0,1.0,4.0,59.0,29.0,18.0,16.0,10.0,2.0,6.0,41.0,933.0,70.0,544.0
