,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20120101,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Mahut N.,275.0,80.0,171,653.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.33,1.2,4.25,1.2,4.0,1.22,4.65,1.23,5.0,1.17,5.0,1.23,4.35,1.2,2012-339,Brisbane,Hard,32.0,A,20120101.0,15.0,105902.0,,WC,James Duckworth,R,183.0,AUS,19.9,103917.0,,,Nicolas Mahut,R,190.0,FRA,29.9,6-4 6-4,3.0,R32,71.0,5.0,1.0,52.0,31.0,25.0,12.0,10.0,1.0,3.0,5.0,5.0,52.0,32.0,21.0,9.0,10.0,3.0,7.0,275.0,171.0,80.0,653.0
1,1,Brisbane,Brisbane International,20120101,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Falla A.,15.0,74.0,1925,671.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.32,3.71,1.2,4.0,1.33,4.0,1.28,3.59,2012-339,Brisbane,Hard,32.0,A,20120101.0,12.0,105238.0,3.0,,Alexandr Dolgopolov,R,180.0,UKR,23.1,104268.0,,,Alejandro Falla,L,185.0,COL,28.1,7-6(3) 6-2,3.0,R32,81.0,5.0,0.0,75.0,37.0,26.0,16.0,10.0,4.0,7.0,0.0,3.0,58.0,33.0,16.0,12.0,10.0,4.0,9.0,15.0,1925.0,74.0,671.0
2,1,Brisbane,Brisbane International,20120201,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Mayer F.,73.0,23.0,685,1630.0,7.0,6.0,2.0,3.0,,,,,,,1.0,0.0,Retired,3.25,1.33,3.3,1.3,3.25,1.33,3.29,1.38,3.0,1.33,3.46,1.38,3.1,1.35,2012-339,Brisbane,Hard,32.0,A,20120101.0,5.0,104797.0,,,Denis Istomin,R,188.0,UZB,25.3,104252.0,4.0,,Florian Mayer,R,190.0,GER,28.2,7-6(5) 2-3 RET,3.0,R32,69.0,10.0,1.0,56.0,28.0,23.0,18.0,8.0,2.0,2.0,2.0,1.0,55.0,38.0,28.0,11.0,9.0,0.0,0.0,73.0,685.0,23.0,1630.0
3,1,Brisbane,Brisbane International,20120201,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Benneteau J.,42.0,52.0,970,900.0,6.0,2.0,4.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.66,2.1,1.65,2.15,1.62,2.2,1.7,2.27,1.62,2.2,1.7,3.1,1.63,2.22,2012-339,Brisbane,Hard,32.0,A,20120101.0,8.0,106071.0,8.0,,Bernard Tomic,R,193.0,AUS,19.1,103898.0,,,Julien Benneteau,R,185.0,FRA,30.0,6-2 4-6 7-5,3.0,R32,147.0,7.0,2.0,92.0,53.0,36.0,23.0,15.0,4.0,7.0,14.0,12.0,121.0,71.0,48.0,19.0,15.0,16.0,21.0,42.0,970.0,52.0,900.0
4,1,Brisbane,Brisbane International,20120201,ATP250,Outdoor,Hard,1st Round,3,Muller G.,Mello R.,54.0,85.0,893,630.0,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.4,2.75,1.4,2.8,1.33,3.25,1.41,3.13,1.36,2.88,1.44,3.7,1.4,2.86,2012-339,Brisbane,Hard,32.0,A,20120101.0,2.0,104180.0,,,Gilles Muller,L,193.0,LUX,28.6,103672.0,,,Ricardo Mello,L,175.0,BRA,31.0,6-7(3) 7-6(4) 6-3,3.0,R32,136.0,23.0,1.0,104.0,55.0,47.0,31.0,17.0,3.0,3.0,3.0,5.0,103.0,67.0,54.0,20.0,16.0,1.0,2.0,54.0,893.0,85.0,630.0
5,1,Brisbane,Brisbane International,20120201,ATP250,Outdoor,Hard,1st Round,3,Simon G.,Sweeting R.,12.0,72.0,2165,690.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.2,4.25,1.17,4.5,1.24,4.48,1.17,4.5,1.3,4.6,1.2,4.25,2012-339,Brisbane,Hard,32.0,A,20120101.0,16.0,104468.0,2.0,,Gilles Simon,R,183.0,FRA,27.0,104976.0,,,Ryan Sweeting,R,196.0,USA,24.4,6-3 6-4,3.0,R32,83.0,3.0,1.0,63.0,43.0,32.0,10.0,10.0,1.0,2.0,2.0,4.0,60.0,31.0,23.0,10.0,9.0,5.0,8.0,12.0,2165.0,72.0,690.0
6,1,Brisbane,Brisbane International,20120201,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Harrison R.,44.0,79.0,940,658.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.35,3.0,1.44,2.62,1.51,2.74,1.44,2.63,1.51,3.15,1.41,2.79,2012-339,Brisbane,Hard,32.0,A,20120101.0,3.0,104571.0,,,Marcos Baghdatis,R,183.0,CYP,26.5,105992.0,,,Ryan Harrison,R,183.0,USA,19.6,7-6(7) 6-4,3.0,R32,101.0,8.0,3.0,71.0,31.0,26.0,26.0,11.0,5.0,6.0,14.0,1.0,79.0,48.0,36.0,17.0,11.0,2.0,4.0,44.0,940.0,79.0,658.0
7,1,Brisbane,Brisbane International,20120301,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Stebe C.M.,25.0,81.0,1430,652.0,3.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,1.22,4.0,1.25,3.75,1.29,3.5,1.26,4.29,1.25,3.5,1.34,4.3,1.25,3.8,2012-339,Brisbane,Hard,32.0,A,20120101.0,4.0,105453.0,5.0,,Kei Nishikori,R,178.0,JPN,22.0,105649.0,,,Cedrik Marcel Stebe,L,183.0,GER,21.2,3-6 6-1 6-4,3.0,R32,130.0,1.0,2.0,75.0,49.0,31.0,16.0,13.0,3.0,6.0,4.0,2.0,90.0,49.0,27.0,23.0,13.0,9.0,14.0,25.0,1430.0,81.0,652.0
8,1,Brisbane,Brisbane International,20120301,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Levine J.,77.0,164.0,666,308.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.35,3.0,1.36,3.0,1.44,2.99,1.36,2.88,1.44,3.25,1.38,2.94,2012-339,Brisbane,Hard,32.0,A,20120101.0,10.0,103813.0,,,Jarkko Nieminen,L,185.0,FIN,30.4,105028.0,,Q,Jesse Levine,L,175.0,CAN,24.2,7-6(4) 6-2,3.0,R32,101.0,3.0,0.0,71.0,53.0,32.0,10.0,10.0,6.0,9.0,3.0,6.0,90.0,63.0,36.0,10.0,10.0,9.0,14.0,77.0,666.0,164.0,308.0
9,1,Brisbane,Brisbane International,20120301,ATP250,Outdoor,Hard,1st Round,3,Ito T.,Mitchell B.,122.0,227.0,474,214.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,,,1.5,2.5,1.51,2.72,1.5,2.5,1.55,2.8,1.49,2.52,2012-339,Brisbane,Hard,32.0,A,20120101.0,7.0,105147.0,,Q,Tatsuma Ito,R,180.0,JPN,23.6,106093.0,,WC,Benjamin Mitchell,R,183.0,AUS,19.0,6-4 6-2,3.0,R32,70.0,6.0,0.0,52.0,30.0,24.0,15.0,9.0,2.0,2.0,11.0,6.0,68.0,44.0,30.0,7.0,9.0,8.0,11.0,122.0,474.0,227.0,214.0
