,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,De Minaur A.,51,351.0,874,132.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.38,2.6,1.5,2.62,1.49,2.8,1.5,2.8,1.45,2.7,2017-M020,Brisbane,Hard,32.0,A,20170102.0,283.0,104999.0,,,Mischa Zverev,L,190.0,GER,29.3,200282.0,,Q,Alex De Minaur,R,183.0,AUS,17.8,6-3 6-3,3.0,R32,67.0,3.0,3.0,57.0,42.0,30.0,9.0,9.0,2.0,2.0,2.0,4.0,46.0,26.0,14.0,12.0,9.0,0.0,3.0,51.0,874.0,351.0,132.0
11,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Dolgopolov O.,9,62.0,3300,760.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.14,4.3,1.17,5.0,1.15,6.34,1.2,6.34,1.14,5.34,2017-M020,Brisbane,Hard,32.0,A,20170102.0,282.0,104745.0,5.0,,Rafael Nadal,L,185.0,ESP,30.5,105238.0,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,6-3 6-3,3.0,R32,74.0,2.0,1.0,52.0,36.0,26.0,10.0,9.0,2.0,3.0,2.0,2.0,53.0,28.0,20.0,7.0,9.0,0.0,4.0,9.0,3300.0,62.0,760.0
12,1,Brisbane,Brisbane International,20170401,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Donaldson J.,5,105.0,4905,570.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.1,7.0,1.11,4.8,1.12,6.0,1.12,7.58,1.14,7.58,1.11,6.37,2017-M020,Brisbane,Hard,32.0,A,20170102.0,288.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0,111577.0,,Q,Jared Donaldson,R,188.0,USA,20.2,4-6 6-4 6-3,3.0,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0,5.0,4905.0,105.0,570.0
13,1,Brisbane,Brisbane International,20170401,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Ferrer D.,79,21.0,689,1785.0,4.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,4.5,1.18,3.8,1.18,4.5,1.2,4.93,1.22,5.0,1.23,4.46,1.2,2017-M020,Brisbane,Hard,32.0,A,20170102.0,289.0,111442.0,,WC,Jordan Thompson,R,183.0,AUS,22.7,103970.0,8.0,,David Ferrer,R,175.0,ESP,34.7,4-6 7-5 7-5,3.0,R16,158.0,5.0,2.0,103.0,65.0,49.0,18.0,17.0,4.0,7.0,2.0,4.0,103.0,64.0,42.0,23.0,17.0,5.0,9.0,79.0,689.0,21.0,1785.0
14,1,Brisbane,Brisbane International,20170401,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Pouille L.,45,15.0,1001,2156.0,6.0,3.0,3.0,1.0,,,,,,,1.0,0.0,Retired,2.62,1.44,2.35,1.48,2.5,1.53,2.6,1.56,2.75,1.57,2.51,1.51,2017-M020,Brisbane,Hard,32.0,A,20170102.0,287.0,106378.0,,,Kyle Edmund,R,188.0,GBR,21.9,106298.0,6.0,,Lucas Pouille,R,185.0,FRA,22.8,6-3 3-1 RET,3.0,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0,45.0,1001.0,15.0,2156.0
15,1,Brisbane,Brisbane International,20170401,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Troicki V.,4,29.0,5315,1385.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.25,3.1,1.3,3.5,1.34,3.6,1.35,3.6,1.31,3.39,2017-M020,Brisbane,Hard,32.0,A,20170102.0,286.0,104527.0,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,104678.0,,,Viktor Troicki,R,193.0,SRB,30.8,7-6(5) 6-4,3.0,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0,4.0,5315.0,29.0,1385.0
16,1,Brisbane,Brisbane International,20170501,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Mahut N.,17,39.0,2035,1102.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.2,3.75,1.25,4.0,1.21,5.0,1.25,5.0,1.2,4.39,2017-M020,Brisbane,Hard,32.0,A,20170102.0,290.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,103917.0,,,Nicolas Mahut,R,190.0,FRA,34.9,6-2 6-4,3.0,R16,65.0,8.0,0.0,46.0,27.0,25.0,12.0,9.0,3.0,3.0,4.0,3.0,52.0,37.0,27.0,4.0,9.0,0.0,3.0,17.0,2035.0,39.0,1102.0
17,1,Brisbane,Brisbane International,20170501,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Groth S.,8,180.0,3415,320.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.2,3.75,1.22,4.33,1.22,4.97,1.25,4.97,1.2,4.4,2017-M020,Brisbane,Hard,32.0,A,20170102.0,291.0,106233.0,4.0,,Dominic Thiem,R,185.0,AUT,23.3,105032.0,,WC,Sam Groth,R,193.0,AUS,29.2,7-6(5) 6-3,3.0,R16,89.0,11.0,1.0,65.0,44.0,36.0,15.0,11.0,4.0,4.0,11.0,1.0,58.0,35.0,34.0,9.0,10.0,3.0,4.0,8.0,3415.0,180.0,320.0
18,1,Brisbane,Brisbane International,20170501,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Schwartzman D.,3,52.0,5450,864.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.1,5.25,1.14,5.5,1.15,6.44,1.17,6.44,1.13,5.66,2017-M020,Brisbane,Hard,32.0,A,20170102.0,293.0,105683.0,1.0,,Milos Raonic,R,196.0,CAN,26.0,106043.0,,,Diego Schwartzman,R,170.0,ARG,24.3,6-3 6-2,3.0,R16,69.0,12.0,1.0,53.0,40.0,30.0,7.0,9.0,2.0,3.0,0.0,1.0,44.0,29.0,17.0,6.0,8.0,2.0,6.0,3.0,5450.0,52.0,864.0
19,1,Brisbane,Brisbane International,20170501,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Zverev M.,9,51.0,3300,874.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.09,5.25,1.11,6.5,1.14,6.76,1.14,6.8,1.11,6.16,2017-M020,Brisbane,Hard,32.0,A,20170102.0,292.0,104745.0,5.0,,Rafael Nadal,L,185.0,ESP,30.5,104999.0,,,Mischa Zverev,L,190.0,GER,29.3,6-1 6-1,3.0,R16,55.0,1.0,2.0,38.0,18.0,15.0,15.0,7.0,2.0,2.0,2.0,2.0,38.0,25.0,13.0,3.0,7.0,3.0,8.0,9.0,3300.0,51.0,874.0
