,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Johansson J.,Kimmich M.,11,309.0,,,6.0,2.0,6,4,,,,,,,2.0,0.0,Completed,1.06,7.5,,,1.04,9.25,1.05,5.0,1.069,11.75,2005-339,Adelaide,Hard,32.0,A,20050103.0,16.0,104026.0,2.0,,Joachim Johansson,R,198.0,SWE,22.5,104115.0,,WC,Marc Kimmich,R,183.0,AUS,21.9,6-2 6-4,3.0,R32,74.0,7.0,6.0,58.0,34.0,30.0,11.0,9.0,1.0,1.0,1.0,6.0,59.0,33.0,24.0,8.0,9.0,2.0,5.0,11.0,1595.0,309.0,107.0
11,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Calleri A.,Nieminen J.,58,77.0,,,6.0,4.0,3,6,7,6,,,,,2.0,1.0,Completed,1.909,1.8,1.88,1.88,1.95,1.8,1.8,1.7,1.943,1.877,2005-339,Adelaide,Hard,32.0,A,20050103.0,2.0,102860.0,,,Agustin Calleri,R,183.0,ARG,28.3,103813.0,,,Jarkko Nieminen,L,185.0,FIN,23.4,6-4 3-6 7-6(2),3.0,R32,118.0,5.0,6.0,97.0,53.0,36.0,23.0,15.0,5.0,9.0,2.0,3.0,101.0,64.0,41.0,19.0,16.0,2.0,6.0,58.0,685.0,77.0,519.0
12,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,de Chaunac S.,132,220.0,,,6.0,4.0,7,6,,,,,,,2.0,0.0,Completed,1.533,2.375,1.6,2.25,1.7,2.1,1.5,2.1,1.685,2.26,2005-339,Adelaide,Hard,32.0,A,20050103.0,6.0,103444.0,,Q,Jean Rene Lisnard,R,173.0,MON,25.2,103063.0,,Q,Sebastien De Chaunac,R,183.0,FRA,27.2,6-4 7-6(4),3.0,R32,110.0,2.0,6.0,77.0,39.0,31.0,20.0,11.0,1.0,2.0,1.0,4.0,78.0,48.0,32.0,15.0,11.0,5.0,7.0,132.0,334.0,220.0,183.0
13,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Chela J.I.,Sargsian S.,26,75.0,,,6.0,1.0,6,1,,,,,,,2.0,0.0,Completed,1.615,2.2,1.56,2.35,1.55,2.35,1.5,2.1,1.625,2.4,2005-339,Adelaide,Hard,32.0,A,20050103.0,5.0,103428.0,4.0,,Juan Ignacio Chela,R,190.0,ARG,25.3,102227.0,,,Sargis Sargsian,R,180.0,ARM,31.5,6-1 6-1,3.0,R32,57.0,4.0,1.0,36.0,27.0,23.0,6.0,7.0,0.0,0.0,3.0,3.0,59.0,40.0,19.0,7.0,7.0,9.0,14.0,26.0,1135.0,75.0,525.0
14,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Hewitt L.,Clement A.,3,106.0,,,2.0,6.0,6,1,6,1,,,,,2.0,1.0,Completed,1.143,5.0,1.07,7.25,1.13,5.5,1.15,3.8,1.111,7.8,2005-339,Adelaide,Hard,32.0,A,20050103.0,1.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,23.8,103096.0,,Q,Arnaud Clement,R,173.0,FRA,27.0,2-6 6-1 6-1,3.0,R32,93.0,8.0,1.0,56.0,33.0,26.0,13.0,11.0,0.0,2.0,5.0,3.0,90.0,54.0,29.0,17.0,11.0,9.0,14.0,3.0,3590.0,106.0,413.0
15,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Delic A.,Reid T.,173,126.0,,,3.0,6.0,7,5,6,2,,,,,2.0,1.0,Completed,1.833,1.833,1.88,1.88,2.0,1.75,1.75,1.75,1.901,1.917,2005-339,Adelaide,Hard,32.0,A,20050103.0,7.0,104025.0,,Q,Amer Delic,R,196.0,BIH,22.5,104379.0,,WC,Todd Reid,R,180.0,AUS,20.5,3-6 7-5 6-2,3.0,R32,94.0,9.0,4.0,78.0,40.0,31.0,23.0,14.0,6.0,8.0,2.0,1.0,104.0,78.0,45.0,16.0,15.0,11.0,15.0,173.0,251.0,126.0,354.0
16,1,Adelaide,Next Generation Hardcourts,20050501,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Mayer F.,72,35.0,,,6.0,3.0,6,3,,,,,,,2.0,0.0,Completed,1.83,1.83,1.77,2.0,1.67,2.12,1.75,1.75,1.84,1.99,2005-339,Adelaide,Hard,32.0,A,20050103.0,23.0,102358.0,,,Thomas Enqvist,R,190.0,SWE,30.8,104252.0,7.0,,Florian Mayer,R,190.0,GER,21.2,6-3 6-3,3.0,R16,65.0,2.0,5.0,65.0,31.0,21.0,19.0,9.0,5.0,6.0,3.0,1.0,55.0,33.0,22.0,7.0,9.0,0.0,4.0,72.0,538.0,35.0,939.0
17,1,Adelaide,Next Generation Hardcourts,20050501,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Saulnier C.,21,53.0,,,6.0,4.0,6,3,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.4,1.45,2.6,1.35,2.5,1.585,2.51,2005-339,Adelaide,Hard,32.0,A,20050103.0,22.0,103017.0,3.0,,Nicolas Kiefer,R,183.0,GER,27.4,102642.0,,,Cyril Saulnier,R,190.0,FRA,29.3,6-4 6-3,3.0,R16,78.0,1.0,2.0,46.0,24.0,21.0,16.0,9.0,0.0,0.0,1.0,2.0,57.0,28.0,18.0,14.0,10.0,1.0,4.0,21.0,1240.0,53.0,748.0
18,1,Adelaide,Next Generation Hardcourts,20050501,International,Outdoor,Hard,2nd Round,3,Rochus O.,Stepanek R.,66,33.0,,,6.0,0.0,6,3,,,,,,,2.0,0.0,Completed,2.25,1.571,2.3,1.6,2.15,1.65,2.0,1.55,2.36,1.641,2005-339,Adelaide,Hard,32.0,A,20050103.0,21.0,103694.0,,,Olivier Rochus,R,168.0,BEL,23.9,103285.0,6.0,,Radek Stepanek,R,185.0,CZE,26.1,6-0 6-3,3.0,R16,67.0,1.0,0.0,50.0,28.0,15.0,17.0,7.0,3.0,4.0,1.0,5.0,44.0,28.0,14.0,3.0,8.0,2.0,8.0,66.0,585.0,33.0,950.0
19,1,Adelaide,Next Generation Hardcourts,20050501,International,Outdoor,Hard,2nd Round,3,Johansson J.,Malisse X.,11,48.0,,,6.0,7.0,6,3,7,6,,,,,2.0,1.0,Completed,1.3,3.39,1.3,3.4,1.26,3.59,1.3,2.7,1.339,3.55,2005-339,Adelaide,Hard,32.0,A,20050103.0,24.0,104026.0,2.0,,Joachim Johansson,R,198.0,SWE,22.5,103598.0,,,Xavier Malisse,R,185.0,BEL,24.4,6-7(4) 6-3 7-6(2),3.0,R16,148.0,14.0,6.0,100.0,64.0,51.0,20.0,16.0,2.0,3.0,12.0,3.0,115.0,64.0,48.0,25.0,17.0,7.0,10.0,11.0,1595.0,48.0,798.0
