,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20181231,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19.0,75.0,1835.0,701.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.37,1.42,3.6,1.35,3.18,2019-M020,Brisbane,Hard,32.0,A,20181231.0,273.0,105777.0,6.0,,Grigor Dimitrov,R,188.0,BUL,27.6,106415.0,,,Yoshihito Nishioka,L,170.0,JPN,23.2,6-3 6-4,3.0,R32,79.0,9.0,6.0,76.0,43.0,37.0,12.0,10.0,6.0,7.0,1.0,1.0,47.0,33.0,21.0,7.0,9.0,0.0,3.0,19.0,1835.0,75.0,701.0
1,1,Brisbane,Brisbane International,20181231,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Bedene A.,18.0,67.0,1855.0,780.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26,2019-M020,Brisbane,Hard,32.0,A,20181231.0,278.0,105683.0,5.0,,Milos Raonic,R,196.0,CAN,28.0,105379.0,,,Aljaz Bedene,R,181.0,SLO,29.4,6-0 6-3,3.0,R32,47.0,18.0,0.0,38.0,29.0,27.0,5.0,8.0,0.0,0.0,4.0,1.0,43.0,30.0,16.0,2.0,7.0,4.0,8.0,18.0,1855.0,67.0,780.0
2,1,Brisbane,Brisbane International,20181231,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mayer L.,131.0,56.0,433.0,895.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28,2019-M020,Brisbane,Hard,32.0,A,20181231.0,279.0,200175.0,,Q,Miomir Kecmanovic,R,183.0,SRB,19.3,104919.0,,,Leonardo Mayer,R,188.0,ARG,31.6,6-3 6-1,3.0,R32,61.0,5.0,2.0,45.0,25.0,22.0,12.0,8.0,1.0,1.0,6.0,2.0,49.0,29.0,18.0,7.0,8.0,4.0,8.0,131.0,433.0,56.0,895.0
3,1,Brisbane,Brisbane International,20181231,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Sandgren T.,38.0,61.0,1083.0,814.0,7.0,6.0,6.0,7.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95,2019-M020,Brisbane,Hard,32.0,A,20181231.0,272.0,105357.0,,,John Millman,R,183.0,AUS,29.5,105815.0,,,Tennys Sandgren,R,188.0,USA,27.4,7-6(6) 6-7(6) 6-0,3.0,R32,153.0,8.0,2.0,98.0,68.0,49.0,15.0,15.0,3.0,5.0,12.0,4.0,106.0,63.0,44.0,20.0,15.0,13.0,18.0,38.0,1083.0,61.0,814.0
4,1,Brisbane,Brisbane International,20181231,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185.0,102.0,275.0,572.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,2019-M020,Brisbane,Hard,32.0,A,20181231.0,275.0,106034.0,,Q,Yasutaka Uchiyama,R,183.0,JPN,26.4,200005.0,,Q,Ugo Humbert,L,188.0,FRA,20.5,6-4 7-6(6),3.0,R32,90.0,12.0,0.0,58.0,43.0,39.0,10.0,11.0,0.0,0.0,6.0,4.0,75.0,45.0,35.0,14.0,11.0,0.0,1.0,185.0,275.0,102.0,572.0
5,1,Brisbane,Brisbane International,20190101,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63.0,49.0,810.0,974.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47,2019-M020,Brisbane,Hard,32.0,A,20181231.0,271.0,106045.0,,,Denis Kudla,R,180.0,USA,26.3,126203.0,,,Taylor Fritz,R,193.0,USA,21.1,7-6(5) 6-7(2) 6-4,3.0,R32,144.0,8.0,4.0,117.0,73.0,58.0,26.0,17.0,4.0,4.0,22.0,4.0,123.0,72.0,57.0,27.0,17.0,9.0,10.0,63.0,810.0,49.0,974.0
6,1,Brisbane,Brisbane International,20190101,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40.0,57.0,1050.0,875.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68,2019-M020,Brisbane,Hard,32.0,A,20181231.0,276.0,104871.0,,,Jeremy Chardy,R,188.0,FRA,31.8,105526.0,,,Jan Lennard Struff,R,193.0,GER,28.6,4-6 6-3 6-4,3.0,R32,99.0,15.0,4.0,87.0,52.0,40.0,21.0,15.0,2.0,3.0,10.0,2.0,74.0,41.0,32.0,22.0,14.0,4.0,6.0,40.0,1050.0,57.0,875.0
7,1,Brisbane,Brisbane International,20190101,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,240.0,234.0,200.0,206.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26,2019-M020,Brisbane,Hard,32.0,A,20181231.0,280.0,104918.0,,PR,Andy Murray,R,190.0,GBR,31.6,105902.0,,WC,James Duckworth,R,183.0,AUS,26.9,6-3 6-4,3.0,R32,88.0,6.0,4.0,66.0,39.0,28.0,16.0,10.0,4.0,5.0,8.0,2.0,56.0,34.0,23.0,9.0,9.0,1.0,4.0,240.0,200.0,234.0,206.0
8,1,Brisbane,Brisbane International,20190101,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35.0,62.0,1125.0,810.0,7.0,6.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8,2019-M020,Brisbane,Hard,32.0,A,20181231.0,277.0,106401.0,8.0,,Nick Kyrgios,R,193.0,AUS,23.6,105992.0,,,Ryan Harrison,R,183.0,USA,26.6,7-6(5) 5-7 7-6(5),3.0,R32,128.0,44.0,3.0,119.0,80.0,63.0,24.0,18.0,1.0,2.0,27.0,3.0,113.0,77.0,60.0,24.0,18.0,5.0,5.0,35.0,1125.0,62.0,810.0
9,1,Brisbane,Brisbane International,20190101,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,239.0,146.0,200.0,367.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64,2019-M020,Brisbane,Hard,32.0,A,20181231.0,284.0,104542.0,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.7,106423.0,,Q,Thanasi Kokkinakis,R,196.0,AUS,22.7,7-6(6) 6-4,3.0,R32,102.0,11.0,1.0,76.0,41.0,33.0,20.0,11.0,2.0,3.0,3.0,0.0,61.0,46.0,34.0,10.0,11.0,1.0,3.0,239.0,200.0,146.0,367.0
