,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Adelaide,AAPT Championships,20040601,International,Outdoor,Hard,1st Round,3,Clement A.,Hanescu V.,31.0,70.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.444,2.625,1.5,2.5,1.48,2.53,1.35,2.5,1.526,2.7,2004-339,Adelaide,Hard,32.0,A,20040105.0,12.0,103096.0,3.0,,Arnaud Clement,R,173.0,FRA,26.0,103812.0,,,Victor Hanescu,R,198.0,ROU,22.4,6-3 6-2,3.0,R32,68.0,0.0,1.0,44.0,27.0,22.0,14.0,9.0,0.0,0.0,5.0,4.0,53.0,32.0,21.0,10.0,8.0,5.0,8.0,31.0,1065.0,70.0,515.0
11,1,Adelaide,AAPT Championships,20040601,International,Outdoor,Hard,1st Round,3,Llodra M.,Burgsmuller L.,173.0,76.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.615,2.2,1.58,2.3,1.55,2.35,1.5,2.1,1.676,2.3,2004-339,Adelaide,Hard,32.0,A,20040105.0,14.0,103566.0,,Q,Michael Llodra,L,190.0,FRA,23.6,102694.0,,,Lars Burgsmuller,R,183.0,GER,28.0,6-3 6-2,3.0,R32,60.0,7.0,3.0,54.0,34.0,23.0,15.0,9.0,5.0,6.0,1.0,4.0,51.0,24.0,18.0,8.0,8.0,3.0,7.0,173.0,214.0,76.0,470.0
12,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,1st Round,3,Saulnier C.,Ginepri R.,86.0,32.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.625,1.444,2.5,1.5,2.45,1.5,2.2,1.45,2.7,1.526,2004-339,Adelaide,Hard,32.0,A,20040105.0,5.0,102642.0,,,Cyril Saulnier,R,190.0,FRA,28.3,104068.0,4.0,,Robby Ginepri,R,183.0,USA,21.2,6-3 6-4,3.0,R32,66.0,1.0,1.0,59.0,34.0,26.0,16.0,10.0,2.0,2.0,3.0,2.0,57.0,39.0,27.0,8.0,9.0,2.0,4.0,86.0,423.0,32.0,1055.0
13,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,1st Round,3,Sluiter R.,Canas G.,59.0,272.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.0,1.364,2.85,1.4,3.12,1.37,2.3,1.4,3.4,1.357,2004-339,Adelaide,Hard,32.0,A,20040105.0,2.0,103171.0,,,Raemon Sluiter,R,185.0,NED,25.7,103084.0,,,Guillermo Canas,R,185.0,ARG,26.1,6-4 6-4,3.0,R32,88.0,4.0,3.0,79.0,47.0,34.0,19.0,10.0,7.0,7.0,3.0,0.0,59.0,47.0,33.0,6.0,10.0,1.0,3.0,59.0,608.0,272.0,124.0
14,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,1st Round,3,Rusedski G.,Wawrinka S.,119.0,171.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.167,4.5,1.17,4.75,1.2,4.25,1.25,3.0,1.23,4.5,2004-339,Adelaide,Hard,32.0,A,20040105.0,6.0,102257.0,,,Greg Rusedski,L,193.0,GBR,30.3,104527.0,,Q,Stan Wawrinka,R,183.0,SUI,18.7,6-4 6-2,3.0,R32,61.0,10.0,3.0,55.0,36.0,30.0,11.0,9.0,2.0,2.0,4.0,3.0,56.0,32.0,22.0,10.0,9.0,2.0,5.0,119.0,347.0,171.0,216.0
15,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,1st Round,3,Reid T.,Ferreira W.,243.0,26.0,6.0,0.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.625,1.444,2.85,1.4,2.67,1.44,2.5,1.35,2.72,1.513,2004-339,Adelaide,Hard,32.0,A,20040105.0,1.0,104379.0,,WC,Todd Reid,R,180.0,AUS,19.5,101965.0,1.0,,Wayne Ferreira,R,185.0,RSA,32.3,6-0 6-1,3.0,R32,35.0,1.0,0.0,31.0,21.0,20.0,8.0,7.0,0.0,0.0,1.0,3.0,33.0,14.0,5.0,6.0,6.0,0.0,5.0,243.0,145.0,26.0,1125.0
16,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,2nd Round,3,Llodra M.,Lapentti N.,173.0,57.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.0,1.727,1.9,1.85,2.1,1.7,1.9,1.6,2.12,1.781,2004-339,Adelaide,Hard,32.0,A,20040105.0,23.0,103566.0,,Q,Michael Llodra,L,190.0,FRA,23.6,102839.0,8.0,,Nicolas Lapentti,R,188.0,ECU,27.3,6-1 6-3,3.0,R16,53.0,3.0,0.0,40.0,29.0,26.0,7.0,8.0,1.0,1.0,3.0,0.0,56.0,34.0,23.0,7.0,8.0,3.0,7.0,173.0,214.0,57.0,628.0
17,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,2nd Round,3,Johansson T.,Clement A.,,31.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.25,1.571,2.3,1.58,2.15,1.65,2.3,1.4,2.4,1.633,2004-339,Adelaide,Hard,32.0,A,20040105.0,22.0,102563.0,,WC,Thomas Johansson,R,180.0,SWE,28.7,103096.0,3.0,,Arnaud Clement,R,173.0,FRA,26.0,6-4 6-3,3.0,R16,105.0,5.0,3.0,78.0,41.0,27.0,17.0,9.0,7.0,9.0,3.0,6.0,70.0,41.0,23.0,11.0,10.0,6.0,11.0,,,31.0,1065.0
18,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,2nd Round,3,Spadea V.,Arthurs W.,29.0,117.0,6.0,4.0,6.0,7.0,6,3.0,,,,,2.0,1.0,Completed,1.667,2.1,1.55,2.4,1.65,2.15,1.5,2.1,1.658,2.34,2004-339,Adelaide,Hard,32.0,A,20040105.0,24.0,102434.0,2.0,,Vincent Spadea,R,183.0,USA,29.4,101885.0,,WC,Wayne Arthurs,L,190.0,AUS,32.8,6-4 6-7(8) 6-3,3.0,R16,136.0,2.0,4.0,88.0,56.0,46.0,22.0,16.0,1.0,2.0,12.0,6.0,116.0,68.0,48.0,26.0,15.0,7.0,10.0,29.0,1100.0,117.0,350.0
19,1,Adelaide,AAPT Championships,20040701,International,Outdoor,Hard,2nd Round,3,Dent T.,Beck K.,33.0,66.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.286,3.5,1.35,3.1,1.28,3.46,1.25,3.0,1.345,3.45,2004-339,Adelaide,Hard,32.0,A,20040105.0,21.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,22.6,103971.0,,,Karol Beck,R,180.0,SVK,21.7,7-6(6) 7-5,3.0,R16,98.0,5.0,6.0,78.0,41.0,30.0,22.0,12.0,1.0,2.0,3.0,5.0,78.0,44.0,30.0,21.0,12.0,2.0,4.0,33.0,1045.0,66.0,537.0
