,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
666,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Acasuso J.,17.0,47.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.25,3.75,,,1.3,2.7,1.333,3.0,1.18,3.5,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,4.0,102374.0,16.0,,Alex Corretja,R,180.0,ESP,28.9,104076.0,,,Jose Acasuso,R,190.0,ARG,20.3,7-6(2) 7-6(7),3.0,R64,143.0,7.0,4.0,105.0,51.0,37.0,26.0,12.0,10.0,13.0,4.0,2.0,83.0,49.0,33.0,16.0,12.0,5.0,8.0,17.0,1555.0,47.0,792.0
667,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Costa A.,Krajicek R.,9.0,79.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.615,,,2.0,1.55,2.2,1.615,2.0,1.56,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,16.0,102610.0,8.0,,Albert Costa,R,180.0,ESP,27.7,101990.0,,,Richard Krajicek,R,196.0,NED,31.2,7-6(5) 7-6(4),3.0,R64,104.0,8.0,0.0,74.0,40.0,32.0,24.0,12.0,0.0,1.0,19.0,6.0,83.0,46.0,37.0,19.0,12.0,5.0,6.0,9.0,2015.0,79.0,530.0
668,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Federer R.,Mantilla F.,4.0,46.0,6.0,7.0,6.0,4.0,4.0,1.0,,,,,1.0,1.0,Retired,1.2,4.333,,,1.15,3.8,1.167,4.5,1.11,4.5,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,24.0,103819.0,4.0,,Roger Federer,R,185.0,SUI,21.5,102456.0,,,Felix Mantilla,R,180.0,ESP,28.4,6-7(4) 6-4 4-1 RET,3.0,R64,108.0,12.0,4.0,81.0,53.0,42.0,15.0,13.0,4.0,5.0,1.0,1.0,94.0,62.0,40.0,17.0,14.0,4.0,8.0,4.0,2780.0,46.0,810.0
669,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Sargsian S.,3.0,81.0,6.0,4.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.286,3.5,,,1.25,3.0,1.286,3.25,1.19,3.47,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,9.0,103507.0,3.0,,Juan Carlos Ferrero,R,183.0,ESP,23.0,102227.0,,Q,Sargis Sargsian,R,180.0,ARM,29.7,6-4 6-7(5) 6-4,3.0,R64,140.0,4.0,4.0,96.0,58.0,41.0,23.0,16.0,5.0,8.0,3.0,5.0,101.0,55.0,38.0,21.0,16.0,5.0,10.0,3.0,3105.0,81.0,513.0
670,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Lee H.T.,80.0,59.0,7.0,6.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.615,,,2.0,1.55,2.1,1.667,2.15,1.5,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,6.0,104068.0,,Q,Robby Ginepri,R,183.0,USA,20.4,102703.0,,Q,Hyung Taik Lee,R,180.0,KOR,27.1,7-6(2) 4-6 6-4,3.0,R64,123.0,10.0,5.0,108.0,73.0,46.0,16.0,16.0,3.0,9.0,1.0,4.0,100.0,69.0,40.0,14.0,16.0,7.0,13.0,80.0,520.0,59.0,652.0
671,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Henman T.,Gambill J.M.,13.0,35.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.25,1.571,,,1.9,1.6,2.375,1.533,2.17,1.48,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,21.0,102450.0,13.0,,Tim Henman,R,185.0,GBR,28.5,102998.0,,,Jan Michael Gambill,R,190.0,USA,25.7,7-5 6-2,3.0,R64,95.0,3.0,3.0,60.0,39.0,33.0,11.0,10.0,1.0,1.0,3.0,3.0,70.0,26.0,17.0,21.0,10.0,3.0,6.0,13.0,1690.0,35.0,970.0
672,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,El Aynaoui Y.,1.0,22.0,4.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,1.2,4.333,,,1.2,3.3,1.2,4.0,1.11,4.5,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,1.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,22.0,101962.0,,,Younes El Aynaoui,R,193.0,MAR,31.4,4-6 7-5 6-2,3.0,R64,138.0,9.0,3.0,96.0,59.0,41.0,22.0,15.0,4.0,6.0,3.0,5.0,97.0,56.0,38.0,21.0,15.0,6.0,10.0,1.0,4630.0,22.0,1370.0
673,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Kuerten G.,Ivanisevic G.,24.0,684.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.125,5.5,,,1.1,4.5,1.1,6.0,1.1,4.65,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,23.0,102856.0,,,Gustavo Kuerten,R,190.0,BRA,26.4,101964.0,,,Goran Ivanisevic,L,193.0,CRO,31.4,6-2 6-4,3.0,R64,55.0,6.0,2.0,48.0,20.0,16.0,18.0,9.0,0.0,1.0,4.0,5.0,48.0,31.0,25.0,2.0,9.0,3.0,7.0,24.0,1230.0,684.0,18.0
674,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Lopez F.,Hrbaty D.,63.0,55.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.1,1.667,,,1.9,1.6,2.0,1.727,1.9,1.65,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,26.0,103852.0,,,Feliciano Lopez,L,188.0,ESP,21.4,103103.0,,,Dominik Hrbaty,R,183.0,SVK,25.1,6-2 7-6(2),3.0,R64,75.0,7.0,2.0,64.0,31.0,30.0,18.0,10.0,4.0,4.0,3.0,2.0,64.0,52.0,31.0,8.0,10.0,2.0,4.0,63.0,643.0,55.0,697.0
675,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Moya C.,Chang M.,5.0,119.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.125,5.5,,,1.1,4.5,1.083,7.0,1.04,6.25,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,17.0,102845.0,5.0,,Carlos Moya,R,190.0,ESP,26.5,102021.0,,WC,Michael Chang,R,175.0,USA,31.0,6-0 6-3,3.0,R64,63.0,6.0,4.0,56.0,30.0,26.0,12.0,8.0,7.0,7.0,1.0,2.0,40.0,23.0,11.0,7.0,7.0,2.0,6.0,5.0,2555.0,119.0,312.0
676,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Rios M.,Gaudio G.,29.0,20.0,4.0,0.0,,,,,,,,,0.0,0.0,Retired,1.444,2.625,,,1.45,2.2,1.4,2.75,1.3,2.85,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,32.0,102701.0,,,Marcelo Rios,L,175.0,CHI,27.2,103292.0,17.0,,Gaston Gaudio,R,175.0,ARG,24.2,4-0 RET,3.0,R64,14.0,1.0,0.0,8.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,2.0,0.0,2.0,29.0,1120.0,20.0,1525.0
677,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Nieminen J.,27.0,34.0,6.0,2.0,0.0,1.0,,,,,,,1.0,0.0,Retired,1.667,2.1,,,1.6,1.9,1.571,2.25,1.58,1.97,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,11.0,103990.0,,,Tommy Robredo,R,180.0,ESP,20.8,103813.0,,,Jarkko Nieminen,L,185.0,FIN,21.6,6-2 0-1 RET,3.0,R64,26.0,3.0,0.0,18.0,13.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,24.0,11.0,9.0,6.0,5.0,0.0,2.0,27.0,1130.0,34.0,1005.0
678,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Schuettler R.,Arthurs W.,15.0,48.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.5,,,1.4,2.3,1.5,2.5,1.5,2.0,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,29.0,102783.0,15.0,,Rainer Schuettler,R,180.0,GER,26.8,101885.0,,,Wayne Arthurs,L,190.0,AUS,31.9,6-4 7-6(3),3.0,R64,97.0,3.0,5.0,69.0,37.0,27.0,22.0,11.0,3.0,4.0,11.0,6.0,78.0,39.0,27.0,20.0,11.0,2.0,4.0,15.0,1570.0,48.0,785.0
679,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Spadea V.,Srichaphan P.,56.0,12.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.625,1.444,,,2.1,1.5,2.5,1.5,2.4,1.4,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,13.0,102434.0,,Q,Vincent Spadea,R,183.0,USA,28.6,103387.0,12.0,,Paradorn Srichaphan,R,185.0,THA,23.7,6-3 6-4,3.0,R64,88.0,3.0,3.0,69.0,36.0,26.0,18.0,10.0,7.0,8.0,4.0,1.0,51.0,31.0,22.0,8.0,9.0,1.0,4.0,56.0,690.0,12.0,1700.0
680,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Vahaly B.,Gonzalez F.,82.0,21.0,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,2.0,1.55,2.25,1.571,1.98,1.57,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,10.0,103408.0,,Q,Brian Vahaly,R,183.0,USA,23.6,103602.0,,,Fernando Gonzalez,R,183.0,CHI,22.6,2-6 6-3 6-4,3.0,R64,97.0,1.0,6.0,86.0,55.0,37.0,17.0,14.0,3.0,6.0,5.0,7.0,73.0,37.0,30.0,16.0,13.0,4.0,7.0,82.0,513.0,21.0,1391.0
681,19,Indian Wells Masters,Pacific Life Open,20031103,Masters,Outdoor,Hard,1st Round,3,Zabaleta M.,Youzhny M.,38.0,26.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.0,1.727,,,1.85,1.65,2.1,1.667,1.8,1.7,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,30.0,103151.0,,,Mariano Zabaleta,R,183.0,ARG,25.0,104022.0,,,Mikhail Youzhny,R,183.0,RUS,20.7,7-6(5) 6-1,3.0,R64,91.0,1.0,1.0,70.0,34.0,25.0,19.0,10.0,4.0,6.0,4.0,2.0,60.0,35.0,20.0,11.0,9.0,8.0,12.0,38.0,926.0,26.0,1165.0
682,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,1st Round,3,Blake J.,Martin T.,25.0,71.0,6.0,1.0,3.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.444,2.625,,,1.4,2.3,1.364,2.875,1.3,2.85,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,19.0,103484.0,,,James Blake,R,185.0,USA,23.1,101774.0,,WC,Todd Martin,R,198.0,USA,32.6,6-1 3-6 7-5,3.0,R64,111.0,9.0,2.0,88.0,53.0,39.0,14.0,14.0,5.0,10.0,1.0,5.0,79.0,44.0,29.0,13.0,14.0,4.0,11.0,25.0,1165.0,71.0,560.0
683,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,1st Round,3,Grosjean S.,Sanchez D.,11.0,45.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,1.2,3.3,1.222,3.75,1.13,4.25,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,28.0,103206.0,11.0,,Sebastien Grosjean,R,175.0,FRA,24.7,103176.0,,,David Sanchez,R,183.0,ESP,24.8,6-3 6-2,3.0,R64,63.0,6.0,0.0,48.0,23.0,18.0,16.0,9.0,2.0,3.0,1.0,3.0,42.0,29.0,19.0,3.0,8.0,2.0,6.0,11.0,1830.0,45.0,812.0
684,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,1st Round,3,Philippoussis M.,Pavel A.,72.0,28.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,,,1.35,2.5,1.364,2.875,1.3,2.85,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,7.0,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,26.3,102318.0,,,Andrei Pavel,R,183.0,ROU,29.1,6-3 6-4,3.0,R64,71.0,12.0,1.0,52.0,29.0,25.0,17.0,10.0,1.0,1.0,3.0,0.0,62.0,42.0,30.0,8.0,9.0,5.0,7.0,72.0,560.0,28.0,1120.0
685,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Enqvist T.,6.0,69.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,1.55,2.0,1.615,2.2,1.46,2.2,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,25.0,104053.0,6.0,,Andy Roddick,R,188.0,USA,20.5,102358.0,,,Thomas Enqvist,R,190.0,SWE,28.9,6-4 6-4,3.0,R64,68.0,15.0,0.0,56.0,35.0,29.0,13.0,10.0,0.0,0.0,6.0,5.0,61.0,28.0,22.0,16.0,10.0,4.0,6.0,6.0,2275.0,69.0,575.0
686,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Calleri A.,Henman T.,41.0,13.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.375,1.533,,,2.1,1.5,2.25,1.571,1.96,1.59,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,43.0,102860.0,,,Agustin Calleri,R,183.0,ARG,26.4,102450.0,13.0,,Tim Henman,R,185.0,GBR,28.5,6-4 7-6(4),3.0,R32,122.0,2.0,5.0,73.0,37.0,30.0,21.0,11.0,1.0,2.0,5.0,7.0,91.0,52.0,37.0,18.0,11.0,11.0,13.0,41.0,865.0,13.0,1690.0
687,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Coria G.,Corretja A.,33.0,17.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.727,2.0,,,1.75,1.75,1.727,2.0,1.72,1.78,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,34.0,103909.0,,,Guillermo Coria,R,175.0,ARG,21.1,102374.0,16.0,,Alex Corretja,R,180.0,ESP,28.9,6-2 6-1,3.0,R32,69.0,0.0,1.0,35.0,19.0,17.0,11.0,7.0,0.0,0.0,3.0,3.0,57.0,32.0,15.0,11.0,8.0,3.0,8.0,33.0,1065.0,17.0,1555.0
688,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Malisse X.,11.0,31.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,,,1.4,2.3,1.364,2.875,1.37,2.45,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,46.0,103206.0,11.0,,Sebastien Grosjean,R,175.0,FRA,24.7,103598.0,,,Xavier Malisse,R,185.0,BEL,22.6,6-3 6-3,3.0,R32,78.0,4.0,2.0,57.0,28.0,25.0,16.0,9.0,3.0,3.0,0.0,5.0,58.0,26.0,17.0,18.0,9.0,2.0,5.0,11.0,1830.0,31.0,1100.0
689,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Kuerten G.,Federer R.,24.0,4.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.25,1.571,,,2.2,1.45,2.25,1.571,2.45,1.37,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,44.0,102856.0,,,Gustavo Kuerten,R,190.0,BRA,26.4,103819.0,4.0,,Roger Federer,R,185.0,SUI,21.5,7-5 7-6(3),3.0,R32,105.0,6.0,1.0,87.0,45.0,32.0,25.0,12.0,6.0,8.0,4.0,3.0,76.0,43.0,30.0,16.0,12.0,4.0,7.0,24.0,1230.0,4.0,2780.0
690,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Mirnyi M.,Rios M.,36.0,29.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.25,1.571,,,1.9,1.6,2.2,1.615,2.05,1.55,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,48.0,103018.0,,,Max Mirnyi,R,196.0,BLR,25.6,102701.0,,,Marcelo Rios,L,175.0,CHI,27.2,6-3 6-3,3.0,R32,62.0,9.0,2.0,51.0,28.0,24.0,13.0,9.0,0.0,0.0,2.0,4.0,70.0,51.0,31.0,8.0,9.0,6.0,9.0,36.0,965.0,29.0,1120.0
691,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Robredo T.,Schalken S.,27.0,14.0,5.0,7.0,6.0,2.0,6.0,0.0,,,,,2.0,1.0,Completed,2.1,1.667,,,2.0,1.55,2.1,1.667,2.1,1.51,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,38.0,103990.0,,,Tommy Robredo,R,180.0,ESP,20.8,102854.0,14.0,,Sjeng Schalken,R,193.0,NED,26.4,5-7 6-2 6-0,3.0,R32,121.0,5.0,2.0,83.0,52.0,33.0,16.0,13.0,1.0,4.0,3.0,2.0,93.0,58.0,37.0,9.0,13.0,5.0,12.0,27.0,1130.0,14.0,1600.0
692,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Rochus O.,Costa A.,66.0,9.0,5.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.615,,,1.9,1.6,2.25,1.571,1.98,1.57,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,40.0,103694.0,,LL,Olivier Rochus,R,168.0,BEL,22.1,102610.0,8.0,,Albert Costa,R,180.0,ESP,27.7,5-7 6-4 6-4,3.0,R32,154.0,0.0,1.0,103.0,59.0,37.0,25.0,16.0,7.0,11.0,8.0,5.0,99.0,47.0,36.0,24.0,16.0,3.0,8.0,66.0,615.0,9.0,2015.0
693,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Lopez F.,6.0,63.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.286,3.5,,,1.25,3.0,1.286,3.25,1.17,3.7,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,45.0,104053.0,6.0,,Andy Roddick,R,188.0,USA,20.5,103852.0,,,Feliciano Lopez,L,188.0,ESP,21.4,6-4 6-3,3.0,R32,54.0,7.0,3.0,45.0,28.0,24.0,12.0,9.0,0.0,0.0,7.0,5.0,50.0,21.0,14.0,18.0,10.0,4.0,7.0,6.0,2275.0,63.0,643.0
694,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Safin M.,Philippoussis M.,7.0,72.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.533,2.375,,,1.6,1.9,1.533,2.375,1.53,2.08,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,36.0,103498.0,7.0,,Marat Safin,R,193.0,RUS,23.1,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,26.3,6-4 6-3,3.0,R32,75.0,2.0,2.0,51.0,25.0,19.0,19.0,9.0,0.0,0.0,2.0,4.0,59.0,32.0,24.0,11.0,10.0,8.0,11.0,7.0,2235.0,72.0,560.0
695,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Schuettler R.,Zabaleta M.,15.0,38.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.727,2.0,,,1.6,1.9,1.727,2.0,1.7,1.8,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,47.0,102783.0,15.0,,Rainer Schuettler,R,180.0,GER,26.8,103151.0,,,Mariano Zabaleta,R,183.0,ARG,25.0,6-3 6-3,3.0,R32,73.0,1.0,3.0,56.0,38.0,27.0,8.0,9.0,4.0,6.0,0.0,2.0,49.0,26.0,13.0,9.0,9.0,0.0,5.0,15.0,1570.0,38.0,926.0
696,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Spadea V.,Kiefer N.,56.0,76.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.727,2.0,,,1.75,1.75,1.8,1.9,1.65,1.9,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,39.0,102434.0,,Q,Vincent Spadea,R,183.0,USA,28.6,103017.0,,Q,Nicolas Kiefer,R,183.0,GER,25.6,6-3 6-2,3.0,R32,84.0,7.0,2.0,50.0,23.0,19.0,14.0,8.0,1.0,2.0,4.0,6.0,57.0,30.0,18.0,10.0,9.0,8.0,13.0,56.0,690.0,76.0,535.0
697,19,Indian Wells Masters,Pacific Life Open,20031203,Masters,Outdoor,Hard,2nd Round,3,Vahaly B.,Ferrero J.C.,82.0,3.0,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,3.75,1.25,,,3.0,1.25,3.75,1.222,4.0,1.15,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,37.0,103408.0,,Q,Brian Vahaly,R,183.0,USA,23.6,103507.0,3.0,,Juan Carlos Ferrero,R,183.0,ESP,23.0,6-4 3-6 6-3,3.0,R32,110.0,3.0,6.0,83.0,54.0,37.0,16.0,14.0,3.0,6.0,3.0,1.0,76.0,46.0,33.0,12.0,14.0,4.0,8.0,82.0,513.0,3.0,3105.0
698,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,2nd Round,3,Blake J.,Chela J.I.,25.0,30.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.571,2.25,,,1.55,2.0,1.5,2.5,1.49,2.16,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,42.0,103484.0,,,James Blake,R,185.0,USA,23.1,103428.0,,,Juan Ignacio Chela,R,190.0,ARG,23.5,6-1 6-4,3.0,R32,55.0,4.0,0.0,51.0,32.0,27.0,9.0,9.0,1.0,2.0,4.0,2.0,54.0,35.0,22.0,6.0,8.0,3.0,7.0,25.0,1165.0,30.0,1105.0
699,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,2nd Round,3,Ginepri R.,Novak J.,80.0,8.0,,,,,,,,,,,,,Walkover,3.5,1.286,,,3.0,1.25,3.5,1.25,3.2,1.23,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,35.0,104068.0,,Q,Robby Ginepri,R,183.0,USA,20.4,102562.0,9.0,,Jiri Novak,R,190.0,CZE,27.9,W/O,3.0,R32,,,,,,,,,,,,,,,,,,,,80.0,520.0,8.0,2021.0
700,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,2nd Round,3,Hewitt L.,Kafelnikov Y.,1.0,23.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.167,4.5,,,1.2,3.3,1.143,5.0,1.14,4.05,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,33.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,22.0,102338.0,,,Yevgeny Kafelnikov,R,190.0,RUS,29.0,6-3 6-2,3.0,R32,85.0,9.0,1.0,63.0,30.0,20.0,18.0,9.0,3.0,5.0,1.0,2.0,52.0,29.0,15.0,9.0,8.0,4.0,9.0,1.0,4630.0,23.0,1235.0
701,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,2nd Round,3,Moya C.,Clement A.,5.0,43.0,6.0,0.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.286,3.5,,,1.3,2.7,1.286,3.25,1.21,3.35,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,41.0,102845.0,5.0,,Carlos Moya,R,190.0,ESP,26.5,103096.0,,,Arnaud Clement,R,173.0,FRA,25.2,6-0 6-2,3.0,R32,56.0,2.0,1.0,37.0,22.0,17.0,11.0,7.0,0.0,0.0,0.0,4.0,48.0,22.0,12.0,9.0,7.0,6.0,11.0,5.0,2555.0,43.0,850.0
702,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,3rd Round,3,Ginepri R.,Safin M.,80.0,7.0,6.0,0.0,6.0,1.0,,,,,,,2.0,0.0,Completed,4.5,1.167,,,3.0,1.25,4.0,1.2,4.0,1.15,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,50.0,104068.0,,Q,Robby Ginepri,R,183.0,USA,20.4,103498.0,7.0,,Marat Safin,R,193.0,RUS,23.1,6-0 6-1,3.0,R16,57.0,3.0,3.0,56.0,35.0,27.0,9.0,7.0,6.0,6.0,3.0,3.0,40.0,23.0,10.0,4.0,6.0,4.0,9.0,80.0,520.0,7.0,2235.0
703,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,3rd Round,3,Hewitt L.,Coria G.,1.0,33.0,6.0,7.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.222,4.0,,,1.2,3.3,1.2,4.0,1.22,3.0,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,49.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,22.0,103909.0,,,Guillermo Coria,R,175.0,ARG,21.1,6-7(3) 6-4 6-3,3.0,R16,155.0,9.0,0.0,93.0,50.0,41.0,22.0,16.0,3.0,6.0,2.0,1.0,107.0,73.0,45.0,19.0,15.0,10.0,15.0,1.0,4630.0,33.0,1065.0
704,19,Indian Wells Masters,Pacific Life Open,20030313,Masters,Outdoor,Hard,3rd Round,3,Schuettler R.,Mirnyi M.,15.0,36.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.727,2.0,,,1.65,1.85,1.667,2.1,1.46,2.2,2003-404,Indian Wells Masters,Hard,64.0,M,20030310.0,56.0,102783.0,15.0,,Rainer Schuettler,R,180.0,GER,26.8,103018.0,,,Max Mirnyi,R,196.0,BLR,25.6,6-3 6-4,3.0,R16,70.0,1.0,3.0,55.0,29.0,24.0,15.0,10.0,1.0,2.0,3.0,2.0,50.0,30.0,21.0,9.0,9.0,3.0,6.0,15.0,1570.0,36.0,965.0
