,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20171231,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Schwartzman D.,169,26.0,315,1675.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.1,1.65,2.2,1.67,2.24,1.71,2.29,1.77,2.17,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Brisbane,Brisbane International,20171231,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Johnson S.,209,44.0,245,1055.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.8,1.38,2.75,1.44,3.14,1.41,3.25,1.44,2.96,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Brisbane,Brisbane International,20180101,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47,52.0,1010,909.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.66,2.35,1.75,2.35,1.67,2.17,2018-M020,Brisbane,Hard,32.0,A,20180101.0,271.0,105992.0,,,Ryan Harrison,R,183.0,USA,25.6,104919.0,,,Leonardo Mayer,R,188.0,ARG,30.6,6-4 3-6 6-2,3.0,R32,123.0,9.0,2.0,82.0,49.0,39.0,20.0,13.0,8.0,9.0,10.0,3.0,80.0,47.0,33.0,19.0,14.0,1.0,4.0,47.0,1010.0,52.0,909.0
3,1,Brisbane,Brisbane International,20180101,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,76,79.0,670,662.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.35,1.53,2.37,1.57,2.38,1.64,2.52,1.65,2.37,1.58,2018-M020,Brisbane,Hard,32.0,A,20180101.0,280.0,105051.0,,,Matthew Ebden,R,188.0,AUS,30.0,126207.0,,,Frances Tiafoe,R,188.0,USA,19.9,6-3 6-2,3.0,R32,59.0,7.0,1.0,48.0,32.0,23.0,11.0,9.0,2.0,3.0,4.0,4.0,46.0,25.0,18.0,6.0,8.0,1.0,5.0,76.0,670.0,79.0,662.0
4,1,Brisbane,Brisbane International,20180101,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smith J.P.,33,218.0,1302,235.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.5,1.57,2.37,1.44,3.0,1.57,3.0,1.44,2.73,2018-M020,Brisbane,Hard,32.0,A,20180101.0,277.0,104999.0,8.0,,Mischa Zverev,L,190.0,GER,30.3,105441.0,,Q,John Patrick Smith,L,188.0,AUS,28.9,6-4 7-5,3.0,R32,88.0,4.0,1.0,66.0,51.0,35.0,6.0,11.0,3.0,6.0,4.0,0.0,69.0,51.0,27.0,8.0,11.0,1.0,6.0,33.0,1302.0,218.0,235.0
5,1,Brisbane,Brisbane International,20180101,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66,120.0,768,498.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.15,1.62,2.1,1.73,2.22,1.73,2.38,1.75,2.2,1.66,2018-M020,Brisbane,Hard,32.0,A,20180101.0,279.0,104547.0,,,Horacio Zeballos,L,188.0,ARG,32.6,124014.0,,Q,Ernesto Escobedo,R,185.0,USA,21.4,6-3 6-4,3.0,R32,72.0,12.0,3.0,57.0,37.0,31.0,11.0,10.0,1.0,1.0,9.0,0.0,51.0,32.0,25.0,10.0,9.0,4.0,6.0,66.0,768.0,120.0,498.0
6,1,Brisbane,Brisbane International,20180101,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,54,94.0,890,593.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.85,1.85,1.91,1.91,1.99,1.9,2.0,2.02,1.89,1.89,2018-M020,Brisbane,Hard,32.0,A,20180101.0,272.0,111577.0,,,Jared Donaldson,R,188.0,USA,21.2,111442.0,,WC,Jordan Thompson,R,183.0,AUS,23.7,6-2 6-4,3.0,R32,90.0,5.0,3.0,58.0,32.0,25.0,14.0,9.0,4.0,5.0,3.0,5.0,62.0,41.0,25.0,7.0,9.0,7.0,11.0,54.0,890.0,94.0,593.0
7,1,Brisbane,Brisbane International,20180201,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Delbonis F.,175,67.0,299,755.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.72,2.0,1.8,2.0,1.84,2.06,1.91,2.1,1.77,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Brisbane,Brisbane International,20180201,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Muller G.,58,25.0,844,1695.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.3,1.53,2.5,1.7,2.26,1.7,2.55,1.59,2.35,2018-M020,Brisbane,Hard,32.0,A,20180101.0,282.0,111202.0,,,Hyeon Chung,R,188.0,KOR,21.6,104180.0,5.0,,Gilles Muller,L,193.0,LUX,34.6,6-3 7-6(1),3.0,R32,99.0,7.0,4.0,64.0,35.0,29.0,17.0,10.0,2.0,2.0,19.0,5.0,68.0,40.0,33.0,10.0,11.0,3.0,5.0,58.0,844.0,25.0,1695.0
9,1,Brisbane,Brisbane International,20180201,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Shapovalov D.,50,51.0,992,981.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.72,2.0,1.72,2.0,1.73,2.1,1.81,2.1,1.9,2.2,1.74,2.08,2018-M020,Brisbane,Hard,32.0,A,20180101.0,283.0,106378.0,,,Kyle Edmund,R,188.0,GBR,22.9,133430.0,,,Denis Shapovalov,L,185.0,CAN,18.7,6-7(5) 7-6(4) 6-4,3.0,R32,150.0,5.0,5.0,113.0,65.0,54.0,29.0,17.0,5.0,6.0,18.0,5.0,100.0,62.0,54.0,18.0,17.0,1.0,3.0,50.0,992.0,51.0,981.0
