,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Pavel A.,Gimelstob J.,27,97,6.0,2.0,6.0,2.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,9.0,102318.0,6.0,,Andrei Pavel,R,183.0,ROU,26.9,102925.0,,,Justin Gimelstob,R,196.0,USA,23.9,6-2 6-2,3.0,R32,50.0,6.0,0.0,38.0,26.0,23.0,9.0,8.0,0.0,0.0,4.0,2.0,42.0,29.0,20.0,4.0,8.0,1.0,5.0,27.0,1105.0,97.0,420.0
11,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Phau B.,Woodbridge T.,208,187,7.0,5.0,6.0,1.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,2.0,103451.0,,Q,Bjorn Phau,R,175.0,GER,21.2,101889.0,,WC,Todd Woodbridge,R,178.0,AUS,29.7,7-5 6-1,3.0,R32,81.0,5.0,5.0,69.0,34.0,24.0,22.0,9.0,7.0,7.0,1.0,3.0,66.0,35.0,21.0,16.0,10.0,0.0,4.0,208.0,184.0,187.0,204.0
12,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Rochus C.,Ilie A.,74,50,1.0,6.0,7.0,6.0,7.0,5.0,,,,,2,1,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,8.0,103294.0,,,Christophe Rochus,R,170.0,BEL,22.0,102776.0,8.0,,Andrew Ilie,R,180.0,AUS,24.7,1-6 7-6(2) 7-5,3.0,R32,115.0,2.0,4.0,95.0,52.0,31.0,22.0,15.0,6.0,12.0,11.0,9.0,113.0,50.0,39.0,24.0,16.0,11.0,16.0,74.0,540.0,50.0,775.0
13,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Grosjean S.,66,19,6.0,3.0,6.0,2.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,5.0,101727.0,,,Jason Stoltenberg,R,185.0,AUS,30.7,103206.0,4.0,,Sebastien Grosjean,R,175.0,FRA,22.5,6-3 6-2,3.0,R32,74.0,3.0,3.0,59.0,26.0,21.0,17.0,9.0,2.0,3.0,0.0,3.0,65.0,35.0,26.0,8.0,8.0,8.0,12.0,66.0,606.0,19.0,1325.0
14,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Tarango J.,Kohlmann M.,112,217,6.0,3.0,7.0,6.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,15.0,101543.0,,,Jeff Tarango,L,180.0,USA,32.1,102306.0,,Q,Michael Kohlmann,R,188.0,GER,26.9,6-3 7-6(4),3.0,R32,74.0,2.0,1.0,69.0,50.0,38.0,11.0,11.0,5.0,6.0,5.0,1.0,73.0,58.0,35.0,8.0,10.0,3.0,5.0,112.0,349.0,217.0,170.0
15,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Vinck C.,Popp A.,102,86,7.0,6.0,6.0,4.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,14.0,102652.0,,,Christian Vinck,L,183.0,GER,25.3,102880.0,,,Alexander Popp,R,201.0,GER,24.1,7-6(5) 6-4,3.0,R32,100.0,2.0,2.0,92.0,62.0,41.0,16.0,11.0,6.0,7.0,3.0,3.0,80.0,43.0,30.0,19.0,11.0,8.0,10.0,102.0,398.0,86.0,500.0
16,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Haas T.,Malisse X.,23,127,7.0,5.0,6.0,3.0,,,,,,,2,0,Completed,1.35,2.9,1.2,3.2,1.25,2.6,1.33,3.0,2001-339,Adelaide,Hard,32.0,A,20010101.0,18.0,103163.0,5.0,,Tommy Haas,R,188.0,GER,22.7,103598.0,,Q,Xavier Malisse,R,185.0,BEL,20.4,7-5 6-3,3.0,R16,76.0,3.0,4.0,59.0,31.0,28.0,13.0,11.0,0.0,1.0,1.0,3.0,64.0,37.0,22.0,14.0,10.0,5.0,8.0,23.0,1145.0,127.0,307.0
17,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Henman T.,Tarango J.,10,112,6.0,1.0,6.0,4.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,24.0,102450.0,2.0,,Tim Henman,R,185.0,GBR,26.3,101543.0,,,Jeff Tarango,L,180.0,USA,32.1,6-1 6-4,3.0,R16,67.0,4.0,2.0,49.0,36.0,27.0,8.0,9.0,1.0,2.0,1.0,0.0,53.0,30.0,14.0,13.0,8.0,2.0,6.0,10.0,2020.0,112.0,349.0
18,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Phau B.,7,208,6.0,7.0,6.0,4.0,6.0,0.0,,,,,2,1,Completed,,,,,,,1.13,5.5,2001-339,Adelaide,Hard,32.0,A,20010101.0,17.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,19.8,103451.0,,Q,Bjorn Phau,R,175.0,GER,21.2,6-7(5) 6-4 6-0,3.0,R16,139.0,11.0,7.0,101.0,42.0,36.0,26.0,14.0,7.0,9.0,4.0,5.0,98.0,40.0,31.0,20.0,14.0,7.0,13.0,7.0,2625.0,208.0,184.0
19,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Johansson T.,Vinck C.,39,102,7.0,5.0,6.0,3.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,23.0,102563.0,7.0,,Thomas Johansson,R,180.0,SWE,25.7,102652.0,,,Christian Vinck,L,183.0,GER,25.3,7-5 6-3,3.0,R16,92.0,6.0,2.0,70.0,38.0,27.0,16.0,10.0,6.0,8.0,1.0,5.0,81.0,49.0,25.0,16.0,11.0,8.0,13.0,39.0,930.0,102.0,398.0
20,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Ljubicic I.,Pavel A.,91,27,3.0,6.0,7.0,5.0,6.0,4.0,,,,,2,1,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,21.0,103344.0,,,Ivan Ljubicic,R,193.0,CRO,21.7,102318.0,6.0,,Andrei Pavel,R,183.0,ROU,26.9,3-6 7-5 6-4,3.0,R16,121.0,14.0,4.0,98.0,44.0,37.0,26.0,16.0,5.0,8.0,2.0,5.0,84.0,36.0,31.0,24.0,15.0,4.0,7.0,91.0,484.0,27.0,1105.0
21,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Martin A.,Rochus C.,79,74,3.0,6.0,7.0,6.0,7.0,5.0,,,,,2,1,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,20.0,103252.0,,,Alberto Martin,R,175.0,ESP,22.3,103294.0,,,Christophe Rochus,R,170.0,BEL,22.0,3-6 7-6(5) 7-5,3.0,R16,134.0,4.0,7.0,106.0,59.0,39.0,24.0,16.0,9.0,14.0,4.0,4.0,100.0,55.0,38.0,23.0,17.0,7.0,12.0,79.0,518.0,74.0,540.0
22,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Massu N.,Clement A.,87,18,6.0,2.0,6.0,2.0,,,,,,,2,0,Completed,2.7,1.42,2.3,1.41,2.0,1.45,2.63,1.44,2001-339,Adelaide,Hard,32.0,A,20010101.0,22.0,103454.0,,,Nicolas Massu,R,183.0,CHI,21.2,103096.0,3.0,,Arnaud Clement,R,173.0,FRA,23.0,6-2 6-2,3.0,R16,67.0,4.0,0.0,42.0,22.0,18.0,15.0,8.0,1.0,1.0,1.0,2.0,42.0,25.0,14.0,8.0,8.0,1.0,5.0,87.0,496.0,18.0,1360.0
23,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,2nd Round,3,Stoltenberg J.,Goldstein P.,66,81,6.0,2.0,6.0,2.0,,,,,,,2,0,Completed,1.55,2.25,1.55,2.0,,,1.53,2.38,2001-339,Adelaide,Hard,32.0,A,20010101.0,19.0,101727.0,,,Jason Stoltenberg,R,185.0,AUS,30.7,102834.0,,,Paul Goldstein,R,178.0,USA,24.4,6-2 6-2,3.0,R16,64.0,8.0,0.0,39.0,20.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,61.0,41.0,23.0,7.0,8.0,4.0,8.0,66.0,606.0,81.0,517.0
