,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kokkinakis T.,60,628.0,780,41.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.33,3.2,1.29,3.5,1.36,3.42,1.33,3.0,1.4,3.6,1.34,3.17,2014-339,Brisbane,Hard,28.0,A,20131229.0,8.0,103720.0,,,Lleyton Hewitt,R,180.0,AUS,32.8,106423.0,,Q,Thanasi Kokkinakis,R,196.0,AUS,17.7,6-3 7-5,3.0,R32,101.0,4.0,1.0,62.0,32.0,27.0,16.0,10.0,3.0,4.0,8.0,5.0,76.0,45.0,29.0,15.0,11.0,11.0,15.0,60.0,780.0,628.0,41.0
11,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Harrison R.,172,100.0,307,549.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.5,1.5,2.75,1.4,2.94,1.45,2.63,1.44,2.95,1.53,2.72,1.43,2014-339,Brisbane,Hard,28.0,A,20131229.0,4.0,105032.0,,WC,Sam Groth,R,193.0,AUS,26.1,105992.0,,Q,Ryan Harrison,R,183.0,USA,21.6,7-6(3) 7-6(2),3.0,R32,95.0,23.0,2.0,70.0,51.0,46.0,10.0,12.0,1.0,1.0,5.0,4.0,86.0,59.0,43.0,15.0,12.0,4.0,4.0,172.0,307.0,100.0,549.0
12,1,Brisbane,Brisbane International,20140101,ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,Querrey S.,61,46.0,774,960.0,5.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.61,2.2,1.65,2.1,1.67,2.35,1.67,2.2,1.67,2.35,1.72,2.2,1.64,2014-339,Brisbane,Hard,28.0,A,20131229.0,14.0,104594.0,,,Marinko Matosevic,R,194.0,AUS,28.3,105023.0,,,Sam Querrey,R,198.0,USA,26.2,5-7 7-6(3) 6-4,3.0,R16,139.0,4.0,3.0,112.0,64.0,46.0,26.0,17.0,9.0,12.0,19.0,2.0,101.0,59.0,45.0,23.0,17.0,3.0,6.0,61.0,774.0,46.0,960.0
13,1,Brisbane,Brisbane International,20140101,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Dimitrov G.,37,23.0,1130,1520.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.35,1.58,2.25,1.57,2.37,1.66,2.25,1.62,2.56,1.67,2.29,1.6,2014-339,Brisbane,Hard,28.0,A,20131229.0,19.0,105227.0,,,Marin Cilic,R,198.0,CRO,25.2,105777.0,5.0,,Grigor Dimitrov,R,188.0,BUL,22.6,7-5 7-5,3.0,R16,96.0,16.0,4.0,77.0,47.0,40.0,16.0,12.0,5.0,5.0,8.0,1.0,72.0,42.0,32.0,16.0,12.0,4.0,6.0,37.0,1130.0,23.0,1520.0
14,1,Brisbane,Brisbane International,20140101,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Ebden M.,17,68.0,1915,706.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.38,3.0,1.29,3.5,1.4,3.21,1.33,3.25,1.44,3.5,1.37,3.02,2014-339,Brisbane,Hard,28.0,A,20131229.0,20.0,105453.0,2.0,,Kei Nishikori,R,178.0,JPN,24.0,105051.0,,,Matthew Ebden,R,188.0,AUS,26.0,6-2 6-4,3.0,R16,62.0,1.0,1.0,48.0,27.0,22.0,15.0,9.0,0.0,0.0,3.0,2.0,47.0,26.0,19.0,10.0,9.0,3.0,6.0,17.0,1915.0,68.0,706.0
15,1,Brisbane,Brisbane International,20140101,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Nieminen J.,6,39.0,4205,1090.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.1,6.5,1.12,5.75,1.12,5.5,1.14,6.7,1.13,6.0,1.15,6.7,1.13,5.77,2014-339,Brisbane,Hard,28.0,A,20131229.0,13.0,103819.0,1.0,,Roger Federer,R,185.0,SUI,32.3,103813.0,,,Jarkko Nieminen,L,185.0,FIN,32.4,6-4 6-2,3.0,R16,68.0,9.0,0.0,56.0,34.0,27.0,14.0,9.0,4.0,4.0,1.0,4.0,63.0,35.0,21.0,14.0,9.0,1.0,4.0,6.0,4205.0,39.0,1090.0
16,1,Brisbane,Brisbane International,20140201,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Mahut N.,34,50.0,1175,918.0,7.0,5.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.66,2.1,1.75,2.05,1.67,2.1,1.85,2.07,1.73,2.1,1.85,2.17,1.74,2.04,2014-339,Brisbane,Hard,28.0,A,20131229.0,16.0,104871.0,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,103917.0,,,Nicolas Mahut,R,190.0,FRA,31.9,7-5 6-7(4) 6-3,3.0,R16,122.0,10.0,3.0,85.0,45.0,39.0,26.0,17.0,1.0,3.0,12.0,6.0,102.0,53.0,39.0,23.0,16.0,4.0,8.0,34.0,1175.0,50.0,918.0
17,1,Brisbane,Brisbane International,20140201,ATP250,Outdoor,Hard,2nd Round,3,Copil M.,Simon G.,147,19.0,369,1790.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.9,1.4,3.0,1.36,2.98,1.45,3.75,1.25,3.75,1.49,2.85,1.41,2014-339,Brisbane,Hard,28.0,A,20131229.0,18.0,105657.0,,Q,Marius Copil,R,193.0,ROU,23.2,104468.0,3.0,,Gilles Simon,R,183.0,FRA,29.0,7-5 6-3,3.0,R16,88.0,10.0,0.0,66.0,38.0,33.0,16.0,11.0,4.0,4.0,2.0,2.0,74.0,32.0,23.0,22.0,10.0,4.0,6.0,147.0,369.0,19.0,1790.0
18,1,Brisbane,Brisbane International,20140201,ATP250,Outdoor,Hard,2nd Round,3,Hewitt L.,Lopez F.,60,28.0,780,1310.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.65,2.2,1.67,2.1,1.54,2.66,1.67,2.2,1.67,2.66,1.59,2.33,2014-339,Brisbane,Hard,28.0,A,20131229.0,17.0,103720.0,,,Lleyton Hewitt,R,180.0,AUS,32.8,103852.0,6.0,,Feliciano Lopez,L,188.0,ESP,32.2,7-5 6-3,3.0,R16,99.0,11.0,2.0,80.0,43.0,33.0,20.0,11.0,9.0,10.0,8.0,8.0,62.0,36.0,29.0,9.0,10.0,3.0,6.0,60.0,780.0,28.0,1310.0
19,1,Brisbane,Brisbane International,20140201,ATP250,Outdoor,Hard,2nd Round,3,Groth S.,Herbert P.H.,172,151.0,307,344.0,4.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.57,2.25,1.55,2.4,,,,,,,1.6,2.6,1.55,2.41,2014-339,Brisbane,Hard,28.0,A,20131229.0,15.0,105032.0,,WC,Sam Groth,R,193.0,AUS,26.1,105732.0,,LL,Pierre Hugues Herbert,R,188.0,FRA,22.7,4-6 7-6(3) 7-6(5),3.0,R16,146.0,18.0,7.0,113.0,62.0,49.0,27.0,17.0,5.0,8.0,8.0,6.0,110.0,68.0,51.0,22.0,17.0,3.0,5.0,172.0,307.0,151.0,344.0
