,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
10,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Ancic M.,Delic A.,35,131.0,1800,716.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.5,1.29,3.66,1.28,3.5,1.286,3.5,1.3,3.4,2009-339,Brisbane,Hard,32.0,A,20090104.0,6.0,104339.0,,,Mario Ancic,R,196.0,CRO,24.7,104025.0,,Q,Amer Delic,R,196.0,BIH,26.5,7-6(2) 6-7(4) 7-6(6),3.0,R32,172.0,23.0,3.0,122.0,72.0,56.0,32.0,18.0,2.0,2.0,21.0,3.0,129.0,87.0,63.0,26.0,18.0,3.0,3.0,35.0,1800.0,131.0,716.0
11,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Djokovic N.,53,3.0,1408,10590.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.5,1.16,3.95,1.25,3.75,1.25,4.0,1.222,4.35,1.2,2009-339,Brisbane,Hard,32.0,A,20090104.0,1.0,105208.0,,,Ernests Gulbis,R,190.0,LAT,20.3,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,21.6,6-4 6-4,3.0,R32,90.0,4.0,2.0,61.0,38.0,28.0,11.0,10.0,2.0,4.0,3.0,4.0,65.0,31.0,21.0,14.0,10.0,9.0,13.0,53.0,1408.0,3.0,10590.0
12,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Mathieu P.H.,Gabashvili T.,31,65.0,2000,1226.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.4,2.75,1.45,2.67,2009-339,Brisbane,Hard,32.0,A,20090104.0,2.0,103908.0,,,Paul Henri Mathieu,R,185.0,FRA,26.9,104559.0,,Q,Teymuraz Gabashvili,R,188.0,RUS,23.6,6-3 6-3,3.0,R32,73.0,9.0,2.0,48.0,28.0,26.0,9.0,9.0,2.0,3.0,3.0,4.0,50.0,25.0,17.0,10.0,9.0,5.0,9.0,31.0,2000.0,65.0,1226.0
13,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Reynolds B.,61,68.0,1280,1144.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.7,2.15,1.66,2.1,1.667,2.2,1.69,2.12,2009-339,Brisbane,Hard,32.0,A,20090104.0,3.0,105453.0,,,Kei Nishikori,R,178.0,JPN,19.0,104035.0,,Q,Bobby Reynolds,R,183.0,USA,26.4,6-3 6-2,3.0,R32,59.0,5.0,4.0,45.0,23.0,19.0,14.0,9.0,0.0,1.0,5.0,1.0,53.0,29.0,18.0,8.0,8.0,4.0,8.0,61.0,1280.0,68.0,1144.0
14,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Llodra M.,Sirianni J.,54,263.0,1400,282.0,5.0,7.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.5,2.5,1.5,2.55,1.5,2.5,1.5,2.625,1.52,2.45,2009-339,Brisbane,Hard,32.0,A,20090104.0,10.0,103566.0,,,Michael Llodra,L,190.0,FRA,28.6,102512.0,,Q,Joseph Sirianni,R,175.0,AUS,33.9,5-7 7-6(3) 6-2,3.0,R32,145.0,13.0,3.0,101.0,70.0,57.0,12.0,16.0,3.0,5.0,9.0,0.0,94.0,41.0,31.0,28.0,16.0,4.0,7.0,54.0,1400.0,263.0,282.0
15,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Calleri A.,7,62.0,3950,1250.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.08,7.0,1.15,5.6,1.14,5.0,1.125,6.0,1.14,5.4,2009-339,Brisbane,Hard,32.0,A,20090104.0,16.0,104542.0,2.0,,Jo-Wilfried Tsonga,R,188.0,FRA,23.7,102860.0,,,Agustin Calleri,R,183.0,ARG,32.3,6-2 7-5,3.0,R32,93.0,3.0,1.0,56.0,38.0,28.0,12.0,10.0,0.0,1.0,2.0,7.0,82.0,41.0,24.0,20.0,10.0,7.0,11.0,7.0,3950.0,62.0,1250.0
16,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,2nd Round,3,Soderling R.,Benneteau J.,17,40.0,2650,1608.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.35,3.3,1.36,3.0,1.364,3.0,1.33,3.2,2009-339,Brisbane,Hard,32.0,A,20090104.0,22.0,104417.0,4.0,,Robin Soderling,R,193.0,SWE,24.3,103898.0,,,Julien Benneteau,R,185.0,FRA,27.0,6-3 6-3,3.0,R16,66.0,6.0,1.0,48.0,25.0,21.0,14.0,9.0,3.0,4.0,4.0,2.0,55.0,36.0,20.0,8.0,9.0,2.0,6.0,17.0,2650.0,40.0,1608.0
17,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Dent T.,23,865.0,2320,28.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.22,4.33,1.22,4.0,1.2,4.333,1.22,4.1,2009-339,Brisbane,Hard,32.0,A,20090104.0,23.0,104755.0,7.0,,Richard Gasquet,R,185.0,FRA,22.5,103758.0,,,Taylor Dent,R,188.0,USA,27.7,7-5 6-4,3.0,R16,80.0,9.0,2.0,60.0,39.0,32.0,11.0,11.0,4.0,5.0,4.0,7.0,70.0,41.0,31.0,10.0,11.0,2.0,5.0,23.0,2320.0,865.0,28.0
18,1,Brisbane,Brisbane International,20090701,ATP250,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Gulbis E.,31,53.0,2000,1408.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.3,1.55,2.25,1.571,2.25,1.615,2.28,1.6,2009-339,Brisbane,Hard,32.0,A,20090104.0,17.0,103908.0,,,Paul Henri Mathieu,R,185.0,FRA,26.9,105208.0,,,Ernests Gulbis,R,190.0,LAT,20.3,6-3 6-4,3.0,R16,81.0,6.0,3.0,61.0,28.0,22.0,23.0,10.0,4.0,4.0,9.0,1.0,49.0,34.0,26.0,6.0,9.0,1.0,3.0,31.0,2000.0,53.0,1408.0
19,1,Brisbane,Brisbane International,20090701,ATP250,Outdoor,Hard,2nd Round,3,Serra F.,Melzer J.,60,32.0,1324,1878.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.51,1.54,2.5,1.5,2.5,1.533,2.52,1.5,2009-339,Brisbane,Hard,32.0,A,20090104.0,20.0,103722.0,,,Florent Serra,R,180.0,FRA,27.8,103781.0,,,Jurgen Melzer,L,183.0,AUT,27.6,6-4 6-3,3.0,R16,71.0,4.0,2.0,63.0,32.0,21.0,20.0,10.0,4.0,5.0,7.0,3.0,53.0,28.0,20.0,11.0,9.0,1.0,4.0,60.0,1324.0,32.0,1878.0
