,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,Adelaide International 1,20230101,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Gasquet R.,61.0,68.0,776.0,740.0,7.0,6.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,1.91,1.91,1.93,1.95,1.99,1.95,1.89,1.89,2023-2843,Adelaide,Hard,32.0,A,20230102.0,271.0,106218.0,,,Marcos Giron,R,180.0,USA,29.4,104755.0,,,Richard Gasquet,R,185.0,FRA,36.5,7-6(5) 6-7(6) 7-5,3.0,R32,177.0,13.0,2.0,110.0,76.0,59.0,23.0,18.0,2.0,3.0,10.0,4.0,139.0,74.0,51.0,38.0,18.0,10.0,12.0,61.0,776.0,68.0,740.0
1,1,Adelaide,Adelaide International 1,20230101,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Galan D.E.,63.0,67.0,775.0,741.0,6.0,3.0,,,,,,,,,1.0,0.0,Retired,1.36,3.2,1.39,3.25,1.44,3.4,1.36,3.12,2023-2843,Adelaide,Hard,32.0,A,20230102.0,272.0,111456.0,,,Mackenzie Mcdonald,R,178.0,USA,27.7,123755.0,,,Daniel Elahi Galan,R,191.0,COL,26.5,6-3 0-0 RET,3.0,R32,40.0,4.0,1.0,20.0,14.0,14.0,2.0,4.0,0.0,0.0,2.0,1.0,39.0,25.0,16.0,6.0,5.0,0.0,2.0,63.0,775.0,67.0,741.0
2,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,O Connell C.,29.0,78.0,1420.0,652.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.58,2.53,1.64,2.53,1.58,2.36,2023-2843,Adelaide,Hard,32.0,A,20230102.0,280.0,200175.0,,,Miomir Kecmanovic,R,183.0,SRB,23.3,106331.0,,WC,Christopher Oconnell,R,183.0,AUS,28.5,6-4 6-4,3.0,R32,94.0,4.0,4.0,74.0,42.0,24.0,23.0,10.0,5.0,6.0,9.0,2.0,55.0,31.0,23.0,9.0,10.0,2.0,5.0,29.0,1420.0,78.0,652.0
3,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rune H.,36.0,11.0,1134.0,2888.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,3.75,1.29,4.0,1.28,4.0,1.31,3.56,1.29,2023-2843,Adelaide,Hard,32.0,A,20230102.0,273.0,106415.0,,,Yoshihito Nishioka,L,170.0,JPN,27.2,208029.0,5.0,,Holger Rune,R,185.0,DEN,19.6,2-6 6-4 6-4,3.0,R32,125.0,0.0,8.0,86.0,54.0,36.0,16.0,14.0,5.0,9.0,14.0,8.0,95.0,57.0,40.0,16.0,14.0,7.0,11.0,36.0,1134.0,11.0,2888.0
4,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Auger-Aliassime F.,120.0,6.0,469.0,4195.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,6.5,1.11,6.2,1.15,6.75,1.18,6.04,1.13,2023-2843,Adelaide,Hard,32.0,A,20230102.0,270.0,200615.0,,Q,Alexei Popyrin,R,196.0,AUS,23.4,200000.0,2.0,,Felix Auger Aliassime,R,193.0,CAN,22.4,6-4 7-6(5),3.0,R32,114.0,11.0,2.0,67.0,45.0,35.0,13.0,11.0,1.0,2.0,7.0,2.0,66.0,45.0,33.0,11.0,11.0,2.0,4.0,120.0,469.0,6.0,4195.0
5,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Thompson J.,64.0,84.0,767.0,626.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.14,1.78,2.15,1.83,2.08,1.74,2023-2843,Adelaide,Hard,32.0,A,20230102.0,284.0,111460.0,,,Quentin Halys,R,191.0,FRA,26.1,111442.0,,WC,Jordan Thompson,R,183.0,AUS,28.7,6-3 6-4,3.0,R32,76.0,14.0,2.0,47.0,30.0,27.0,13.0,10.0,0.0,0.0,5.0,4.0,65.0,38.0,26.0,12.0,9.0,3.0,5.0,64.0,767.0,84.0,626.0
6,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Ymer M.,88.0,69.0,606.0,739.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.27,1.7,2.36,1.71,2.2,1.65,2023-2843,Adelaide,Hard,32.0,A,20230102.0,283.0,126128.0,,Q,Roman Safiullin,R,185.0,RUS,25.4,144707.0,,,Mikael Ymer,R,183.0,SWE,24.3,6-4 6-2,3.0,R32,94.0,4.0,3.0,65.0,40.0,31.0,13.0,9.0,5.0,5.0,2.0,3.0,61.0,36.0,20.0,13.0,9.0,5.0,8.0,88.0,606.0,69.0,739.0
7,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Kwon S.W.,42.0,83.0,990.0,630.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.69,2.29,1.7,2.4,1.65,2.22,2023-2843,Adelaide,Hard,32.0,A,20230102.0,279.0,207733.0,,,Jack Draper,L,191.0,GBR,21.0,126952.0,,Q,Soon Woo Kwon,R,180.0,KOR,25.0,6-2 6-1,3.0,R32,68.0,8.0,2.0,35.0,18.0,16.0,13.0,7.0,3.0,3.0,2.0,3.0,52.0,24.0,12.0,10.0,8.0,7.0,12.0,42.0,990.0,83.0,630.0
8,1,Adelaide,Adelaide International 1,20230201,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Cressy M.,93.0,34.0,592.0,1163.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.91,1.91,1.97,1.92,2.0,2.12,1.9,1.89,2023-2843,Adelaide,Hard,32.0,A,20230102.0,276.0,106423.0,,WC,Thanasi Kokkinakis,R,196.0,AUS,26.7,202195.0,,,Maxime Cressy,R,198.0,USA,25.6,7-6(4) 7-6(7),3.0,R32,131.0,21.0,0.0,72.0,52.0,45.0,13.0,12.0,3.0,4.0,20.0,8.0,82.0,50.0,38.0,19.0,12.0,5.0,6.0,93.0,592.0,34.0,1163.0
9,1,Adelaide,Adelaide International 1,20230301,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Sonego L.,7.0,45.0,4065.0,950.0,7.0,6.0,2.0,1.0,,,,,,,1.0,0.0,Retired,1.11,6.5,1.13,7.18,1.15,7.18,1.12,6.15,2023-2843,Adelaide,Hard,32.0,A,20230102.0,281.0,106421.0,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,132283.0,,,Lorenzo Sonego,R,191.0,ITA,27.6,7-6(6) 2-1 RET,3.0,R32,102.0,5.0,2.0,70.0,45.0,30.0,15.0,8.0,9.0,10.0,1.0,1.0,57.0,32.0,25.0,11.0,7.0,3.0,4.0,7.0,4065.0,45.0,950.0
