,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Antalya,Antalya Open,20210701,ATP250,Indoor,Hard,1st Round,3,Basilashvili N.,Arnaboldi A.,40,267.0,1395,206.0,4.0,6.0,7.0,5.0,6.0,1.0,,,,,2.0,1.0,Completed,1.5,2.5,1.61,2.44,1.67,2.56,1.56,2.42,2021-9426,Antalya,Hard,32.0,A,20210105.0,277.0,105932.0,6.0,,Nikoloz Basilashvili,R,185.0,GEO,28.8,105063.0,,,Andrea Arnaboldi,L,180.0,ITA,33.0,4-6 7-5 6-1,3.0,R32,122.0,3.0,4.0,86.0,53.0,36.0,16.0,15.0,1.0,5.0,2.0,1.0,94.0,61.0,36.0,15.0,14.0,11.0,17.0,40.0,1395.0,267.0,206.0
1,1,Antalya,Antalya Open,20210701,ATP250,Indoor,Hard,1st Round,3,Celikbilek A.,Zuk K.,309,262.0,150,209.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.63,1.54,2.7,1.55,2.57,1.5,2021-9426,Antalya,Hard,32.0,A,20210105.0,276.0,123795.0,,WC,Altug Celikbilek,U,183.0,TUR,24.3,200390.0,,,Kacper Zuk,R,183.0,POL,21.9,7-6(7) 7-5,3.0,R32,109.0,4.0,4.0,85.0,59.0,45.0,14.0,12.0,9.0,10.0,6.0,3.0,86.0,59.0,45.0,11.0,12.0,5.0,7.0,309.0,150.0,262.0,209.0
2,1,Antalya,Antalya Open,20210701,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori E.,Vesely J.,87,67.0,806,928.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.56,2.58,1.63,3.03,1.52,2.53,2021-9426,Antalya,Hard,32.0,A,20210105.0,272.0,200325.0,,,Emil Ruusuvuori,R,188.0,FIN,21.7,106210.0,,,Jiri Vesely,L,198.0,CZE,27.4,6-3 7-6(4),3.0,R32,81.0,1.0,0.0,60.0,47.0,40.0,8.0,11.0,0.0,0.0,9.0,0.0,55.0,36.0,29.0,10.0,10.0,1.0,2.0,87.0,806.0,67.0,928.0
3,1,Antalya,Antalya Open,20210701,ATP250,Indoor,Hard,1st Round,3,Bublik A.,Caruso S.,49,76.0,1090,858.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.81,2.09,1.87,2.3,1.72,2.11,2021-9426,Antalya,Hard,32.0,A,20210105.0,282.0,122330.0,8.0,,Alexander Bublik,R,196.0,KAZ,23.5,106099.0,,,Salvatore Caruso,R,185.0,ITA,28.0,6-3 6-3,3.0,R32,67.0,8.0,2.0,48.0,33.0,26.0,10.0,9.0,0.0,0.0,0.0,3.0,55.0,33.0,23.0,9.0,9.0,5.0,8.0,49.0,1090.0,76.0,858.0
4,1,Antalya,Antalya Open,20210701,ATP250,Indoor,Hard,1st Round,3,Goffin D.,Herbert P.H.,16,83.0,2555,822.0,3.0,6.0,7.0,5.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.46,2.92,1.5,3.0,1.44,2.78,2021-9426,Antalya,Hard,32.0,A,20210105.0,270.0,105676.0,2.0,,David Goffin,R,180.0,BEL,30.0,105732.0,,,Pierre Hugues Herbert,R,188.0,FRA,29.8,3-6 7-5 6-0,3.0,R32,122.0,3.0,1.0,86.0,48.0,33.0,15.0,13.0,2.0,7.0,7.0,4.0,99.0,64.0,37.0,13.0,14.0,11.0,19.0,16.0,2555.0,83.0,822.0
5,1,Antalya,Antalya Open,20210701,ATP250,Indoor,Hard,1st Round,3,Travaglia S.,Kecmanovic M.,75,42.0,869,1328.0,1.0,6.0,6.0,4.0,6.0,0.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.5,2.71,1.45,2021-9426,Antalya,Hard,32.0,A,20210105.0,273.0,105882.0,,,Stefano Travaglia,R,185.0,ITA,29.0,200175.0,7.0,,Miomir Kecmanovic,R,183.0,SRB,21.3,1-6 6-4 6-0,3.0,R32,92.0,5.0,3.0,66.0,39.0,26.0,14.0,11.0,0.0,3.0,3.0,2.0,76.0,47.0,27.0,14.0,12.0,4.0,9.0,75.0,869.0,42.0,1328.0
6,1,Antalya,Antalya Open,20210801,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Kotov P.,37,269.0,1450,205.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.24,4.44,1.27,4.6,1.22,4.16,2021-9426,Antalya,Hard,32.0,A,20210105.0,278.0,105526.0,5.0,,Jan Lennard Struff,R,193.0,GER,30.6,200303.0,,Q,Pavel Kotov,R,191.0,RUS,22.1,6-4 6-3,3.0,R32,87.0,3.0,2.0,64.0,33.0,21.0,17.0,9.0,5.0,7.0,2.0,1.0,71.0,41.0,25.0,11.0,10.0,7.0,12.0,37.0,1450.0,269.0,205.0
7,1,Antalya,Antalya Open,20210801,ATP250,Indoor,Hard,1st Round,3,Lamasine T.,Gerasimov E.,271,78.0,204,840.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,5.0,1.16,5.74,1.17,5.74,1.22,5.12,1.16,2021-9426,Antalya,Hard,32.0,A,20210105.0,283.0,106137.0,,,Tristan Lamasine,R,183.0,FRA,27.8,106078.0,,,Egor Gerasimov,R,196.0,BLR,28.1,7-6(6) 6-2,3.0,R32,91.0,0.0,1.0,69.0,46.0,30.0,13.0,10.0,2.0,4.0,4.0,3.0,73.0,44.0,30.0,10.0,10.0,0.0,4.0,271.0,204.0,78.0,840.0
8,1,Antalya,Antalya Open,20210801,ATP250,Indoor,Hard,1st Round,3,Andreev A.,Ilhan M.,564,571.0,52,51.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.24,4.53,1.25,4.65,1.22,4.24,2021-9426,Antalya,Hard,32.0,A,20210105.0,275.0,202090.0,,Q,Adrian Andreev,R,180.0,BUL,19.6,104947.0,,WC,Marsel Ilhan,R,190.0,TUR,33.5,6-4 6-3,3.0,R32,75.0,0.0,0.0,52.0,41.0,29.0,6.0,9.0,1.0,2.0,1.0,1.0,55.0,44.0,27.0,3.0,10.0,2.0,6.0,564.0,52.0,571.0,51.0
9,1,Antalya,Antalya Open,20210801,ATP250,Indoor,Hard,1st Round,3,Grenier H.,Molcan A.,250,313.0,220,145.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,2.0,1.89,2.05,2.0,1.87,1.92,2021-9426,Antalya,Hard,32.0,A,20210105.0,279.0,126409.0,,,Hugo Grenier,R,196.0,FRA,24.7,144684.0,,Q,Alex Molcan,L,178.0,SVK,23.0,7-5 6-4,3.0,R32,90.0,8.0,3.0,69.0,51.0,37.0,8.0,11.0,5.0,7.0,3.0,2.0,64.0,36.0,25.0,12.0,11.0,5.0,9.0,250.0,220.0,313.0,145.0
