,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,Next Generation Adelaide International,20060201,International,Outdoor,Hard,1st Round,3,Berdych T.,Calleri A.,24.0,51.0,1200.0,692.0,6.0,4.0,6,7,6,4,,,,,2.0,1.0,Completed,1.39,2.75,1.4,2.85,1.35,3.1,1.446,3.04,1.38,2.94,2006-339,Adelaide,Hard,32.0,A,20060102.0,4.0,104607.0,6.0,,Tomas Berdych,R,196.0,CZE,20.2,102860.0,,,Agustin Calleri,R,183.0,ARG,29.3,6-4 6-7(5) 6-4,3.0,R32,138.0,5.0,5.0,103.0,53.0,43.0,29.0,16.0,4.0,5.0,13.0,9.0,110.0,58.0,43.0,27.0,16.0,5.0,8.0,24.0,1200.0,51.0,692.0
1,1,Adelaide,Next Generation Adelaide International,20060201,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Guccione C.,86.0,156.0,470.0,265.0,6.0,4.0,6,3,,,,,,,2.0,0.0,Completed,1.53,2.37,1.67,2.15,1.6,2.25,1.719,2.29,1.57,2.34,2006-339,Adelaide,Hard,32.0,A,20060102.0,2.0,104259.0,,,Philipp Kohlschreiber,R,178.0,GER,22.2,104589.0,,WC,Chris Guccione,L,201.0,AUS,20.4,6-4 6-3,3.0,R32,76.0,4.0,1.0,49.0,28.0,22.0,14.0,9.0,2.0,3.0,14.0,5.0,84.0,49.0,30.0,14.0,10.0,12.0,16.0,86.0,470.0,156.0,265.0
2,1,Adelaide,Next Generation Adelaide International,20060201,International,Outdoor,Hard,1st Round,3,Malisse X.,Luczak P.,47.0,146.0,731.0,286.0,7.0,6.0,6,3,,,,,,,2.0,0.0,Completed,1.28,3.25,1.3,3.4,1.3,3.35,1.391,3.36,1.33,3.2,2006-339,Adelaide,Hard,32.0,A,20060102.0,6.0,103598.0,,,Xavier Malisse,R,185.0,BEL,25.4,103429.0,,WC,Peter Luczak,R,183.0,AUS,26.3,7-6(11) 6-3,3.0,R32,105.0,17.0,4.0,95.0,54.0,44.0,17.0,11.0,14.0,16.0,5.0,2.0,73.0,40.0,29.0,15.0,10.0,6.0,9.0,47.0,731.0,146.0,286.0
3,1,Adelaide,Next Generation Adelaide International,20060201,International,Outdoor,Hard,1st Round,3,Robredo T.,Melzer J.,19.0,52.0,1490.0,690.0,7.0,5.0,6,4,,,,,,,2.0,0.0,Completed,1.53,2.37,1.6,2.3,1.5,2.5,1.606,2.55,1.56,2.36,2006-339,Adelaide,Hard,32.0,A,20060102.0,12.0,103990.0,3.0,,Tommy Robredo,R,180.0,ESP,23.6,103781.0,,,Jurgen Melzer,L,183.0,AUT,24.6,7-5 6-4,3.0,R32,83.0,2.0,3.0,59.0,27.0,23.0,23.0,11.0,0.0,0.0,1.0,4.0,79.0,41.0,32.0,17.0,11.0,4.0,6.0,19.0,1490.0,52.0,690.0
4,1,Adelaide,Next Generation Adelaide International,20060201,International,Outdoor,Hard,1st Round,3,Ancic M.,Clement A.,21.0,69.0,1360.0,558.0,6.0,0.0,6,2,,,,,,,2.0,0.0,Completed,1.44,2.62,1.5,2.55,1.42,2.75,1.549,2.72,1.53,2.42,2006-339,Adelaide,Hard,32.0,A,20060102.0,5.0,104339.0,4.0,,Mario Ancic,R,196.0,CRO,21.7,103096.0,,,Arnaud Clement,R,173.0,FRA,28.0,6-0 6-2,3.0,R32,59.0,7.0,0.0,36.0,23.0,21.0,8.0,7.0,2.0,2.0,1.0,1.0,45.0,23.0,15.0,4.0,7.0,4.0,9.0,21.0,1360.0,69.0,558.0
5,1,Adelaide,Next Generation Adelaide International,20060301,International,Outdoor,Hard,1st Round,3,Mayer F.,Monaco J.,72.0,85.0,519.0,477.0,6.0,2.0,6,4,,,,,,,2.0,0.0,Completed,1.5,2.5,1.6,2.3,1.48,2.53,1.606,2.55,1.57,2.34,2006-339,Adelaide,Hard,32.0,A,20060102.0,10.0,104252.0,,,Florian Mayer,R,190.0,GER,22.2,104338.0,,,Juan Monaco,R,185.0,ARG,21.7,6-2 6-4,3.0,R32,73.0,2.0,3.0,45.0,25.0,22.0,11.0,9.0,1.0,2.0,1.0,0.0,67.0,42.0,24.0,11.0,9.0,5.0,9.0,72.0,519.0,85.0,477.0
6,1,Adelaide,Next Generation Adelaide International,20060301,International,Outdoor,Hard,1st Round,3,Seppi A.,Pashanski B.,68.0,82.0,562.0,498.0,6.0,4.0,6,4,,,,,,,2.0,0.0,Completed,1.4,2.75,1.5,2.55,1.53,2.4,1.524,2.77,,,2006-339,Adelaide,Hard,32.0,A,20060102.0,7.0,104312.0,,,Andreas Seppi,R,190.0,ITA,21.8,104081.0,,,Boris Pashanski,R,180.0,SRB,23.1,6-4 6-4,3.0,R32,70.0,8.0,2.0,57.0,36.0,29.0,11.0,10.0,2.0,3.0,3.0,4.0,58.0,33.0,24.0,11.0,10.0,5.0,8.0,68.0,562.0,82.0,498.0
7,1,Adelaide,Next Generation Adelaide International,20060301,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Spadea V.,172.0,75.0,228.0,515.0,6.0,4.0,3,6,6,4,,,,,2.0,1.0,Completed,1.83,1.83,1.77,2.0,1.8,1.95,1.877,2.04,1.77,2.0,2006-339,Adelaide,Hard,32.0,A,20060102.0,15.0,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,29.1,102434.0,,,Vincent Spadea,R,183.0,USA,31.4,6-4 3-6 6-4,3.0,R32,121.0,14.0,2.0,94.0,53.0,36.0,21.0,15.0,6.0,10.0,4.0,3.0,95.0,55.0,37.0,18.0,14.0,6.0,10.0,172.0,228.0,75.0,515.0
8,1,Adelaide,Next Generation Adelaide International,20060301,International,Outdoor,Hard,1st Round,3,Karlovic I.,Chela J.I.,70.0,39.0,550.0,815.0,6.0,3.0,3,6,6,1,,,,,2.0,1.0,Completed,1.9,1.8,2.0,1.77,2.05,1.75,2.21,1.763,1.96,1.8,2006-339,Adelaide,Hard,32.0,A,20060102.0,13.0,103333.0,,,Ivo Karlovic,R,208.0,CRO,26.8,103428.0,8.0,,Juan Ignacio Chela,R,190.0,ARG,26.3,6-3 3-6 6-1,3.0,R32,104.0,13.0,2.0,79.0,46.0,37.0,16.0,13.0,1.0,2.0,3.0,3.0,80.0,48.0,33.0,16.0,12.0,5.0,8.0,70.0,550.0,39.0,815.0
9,1,Adelaide,Next Generation Adelaide International,20060301,International,Outdoor,Hard,1st Round,3,Blake J.,Martin A.,23.0,50.0,1230.0,711.0,6.0,3.0,6,3,,,,,,,2.0,0.0,Completed,1.12,5.5,1.16,5.0,1.13,5.5,1.163,6.55,1.16,4.95,2006-339,Adelaide,Hard,32.0,A,20060102.0,8.0,103484.0,5.0,,James Blake,R,185.0,USA,26.0,103252.0,,,Alberto Martin,R,175.0,ESP,27.3,6-3 6-3,3.0,R32,65.0,4.0,0.0,51.0,25.0,21.0,13.0,9.0,3.0,5.0,3.0,6.0,60.0,33.0,21.0,8.0,9.0,6.0,11.0,23.0,1230.0,50.0,711.0
